country,year,ae_cap_const
aut,1990,
aut,1991,
aut,1992,
aut,1993,
aut,1994,
aut,1995,
aut,1996,
aut,1997,
aut,1998,
aut,1999,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,200.68557
aut,2009,184.38338
aut,2010,173.05901
aut,2011,166.16797
aut,2012,166.3999
aut,2013,156.68639
aut,2014,135.63945
aut,2015,120.21477
aut,2016,110.41348
aut,2017,124.00124
aut,2018,125.38055
aut,2019,123.31767
aut,2020,120.80135
aut,2021,113.21414
aut,2022,103.79958
aut,2023,
bel,1990,
bel,1991,
bel,1992,
bel,1993,
bel,1994,
bel,1995,
bel,1996,
bel,1997,
bel,1998,
bel,1999,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,236.89776
bel,2009,224.00795
bel,2010,230.50337
bel,2011,235.11076
bel,2012,229.4549
bel,2013,242.00952
bel,2014,223.30218
bel,2015,245.98458
bel,2016,244.00728
bel,2017,242.50745
bel,2018,250.60326
bel,2019,247.5021
bel,2020,230.28414
bel,2021,223.94167
bel,2022,208.8938
bel,2023,
bgr,1990,
bgr,1991,
bgr,1992,
bgr,1993,
bgr,1994,
bgr,1995,
bgr,1996,
bgr,1997,
bgr,1998,
bgr,1999,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,70.30745
bgr,2009,75.11707
bgr,2010,63.82327
bgr,2011,68.40274
bgr,2012,68.46521
bgr,2013,63.78179
bgr,2014,75.17266
bgr,2015,91.17683
bgr,2016,66.02119
bgr,2017,66.27386
bgr,2018,80.06809
bgr,2019,86.96083
bgr,2020,87.41944
bgr,2021,89.92338
bgr,2022,81.46438
bgr,2023,
hrv,1990,
hrv,1991,
hrv,1992,
hrv,1993,
hrv,1994,
hrv,1995,
hrv,1996,
hrv,1997,
hrv,1998,
hrv,1999,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,98.34237
hrv,2009,90.38914
hrv,2010,87.25362
hrv,2011,83.6416
hrv,2012,76.26132
hrv,2013,75.81288
hrv,2014,66.37886
hrv,2015,68.72179
hrv,2016,69.29311
hrv,2017,85.6123
hrv,2018,84.23057
hrv,2019,91.48696
hrv,2020,84.05018
hrv,2021,97.03335
hrv,2022,96.55842
hrv,2023,
cyp,1990,
cyp,1991,
cyp,1992,
cyp,1993,
cyp,1994,
cyp,1995,
cyp,1996,
cyp,1997,
cyp,1998,
cyp,1999,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,214.7695
cyp,2009,189.68235
cyp,2010,180.45904
cyp,2011,154.83189
cyp,2012,122.67538
cyp,2013,99.50365
cyp,2014,100.90208
cyp,2015,105.16541
cyp,2016,121.65161
cyp,2017,138.83873
cyp,2018,138.25028
cyp,2019,157.01585
cyp,2020,168.54163
cyp,2021,152.57203
cyp,2022,150.96808
cyp,2023,
cze,1990,
cze,1991,
cze,1992,
cze,1993,
cze,1994,
cze,1995,
cze,1996,
cze,1997,
cze,1998,
cze,1999,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,191.34228
cze,2009,175.5963
cze,2010,163.04305
cze,2011,156.28983
cze,2012,145.28283
cze,2013,123.53629
cze,2014,117.48673
cze,2015,115.62305
cze,2016,126.29724
cze,2017,127.49535
cze,2018,124.29119
cze,2019,127.2293
cze,2020,124.73853
cze,2021,145.58694
cze,2022,136.47595
cze,2023,
dnk,1990,
dnk,1991,
dnk,1992,
dnk,1993,
dnk,1994,
dnk,1995,
dnk,1996,
dnk,1997,
dnk,1998,
dnk,1999,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,297.89404
dnk,2009,265.0011
dnk,2010,281.30666
dnk,2011,296.65507
dnk,2012,260.93276
dnk,2013,216.74099
dnk,2014,242.17229
dnk,2015,256.87477
dnk,2016,263.08779
dnk,2017,276.32856
dnk,2018,283.71029
dnk,2019,277.60005
dnk,2020,273.39048
dnk,2021,272.78429
