country,year,ae_cap_def
aut,1990,
aut,1991,
aut,1992,
aut,1993,
aut,1994,
aut,1995,
aut,1996,
aut,1997,
aut,1998,
aut,1999,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,37.33092
aut,2009,39.83411
aut,2010,39.13199
aut,2011,36.28821
aut,2012,65.02418
aut,2013,62.32473
aut,2014,60.68409
aut,2015,62.26887
aut,2016,65.26553
aut,2017,69.97902
aut,2018,54.09991
aut,2019,47.3287
aut,2020,47.71362
aut,2021,65.45921
aut,2022,57.81583
aut,2023,
bel,1990,
bel,1991,
bel,1992,
bel,1993,
bel,1994,
bel,1995,
bel,1996,
bel,1997,
bel,1998,
bel,1999,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,128.0102
bel,2009,130.68789
bel,2010,125.36063
bel,2011,107.45256
bel,2012,108.84468
bel,2013,108.3611
bel,2014,92.8908
bel,2015,98.94672
bel,2016,97.65993
bel,2017,93.83298
bel,2018,98.38583
bel,2019,90.85414
bel,2020,85.66921
bel,2021,91.4757
bel,2022,81.20271
bel,2023,
bgr,1990,
bgr,1991,
bgr,1992,
bgr,1993,
bgr,1994,
bgr,1995,
bgr,1996,
bgr,1997,
bgr,1998,
bgr,1999,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,10.62226
bgr,2009,14.69231
bgr,2010,11.09929
bgr,2011,12.49446
bgr,2012,8.44959
bgr,2013,8.51422
bgr,2014,7.64439
bgr,2015,10.31045
bgr,2016,12.6053
bgr,2017,11.60431
bgr,2018,7.77919
bgr,2019,3.93608
bgr,2020,3.72501
bgr,2021,5.95924
bgr,2022,6.2876
bgr,2023,
hrv,1990,
hrv,1991,
hrv,1992,
hrv,1993,
hrv,1994,
hrv,1995,
hrv,1996,
hrv,1997,
hrv,1998,
hrv,1999,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,15.87176
hrv,2009,16.34223
hrv,2010,16.6578
hrv,2011,16.67234
hrv,2012,16.37062
hrv,2013,17.60909
hrv,2014,17.49154
hrv,2015,18.79987
hrv,2016,20.02632
hrv,2017,22.96683
hrv,2018,23.17423
hrv,2019,24.65841
hrv,2020,23.38429
hrv,2021,25.74286
hrv,2022,26.87446
hrv,2023,
cyp,1990,
cyp,1991,
cyp,1992,
cyp,1993,
cyp,1994,
cyp,1995,
cyp,1996,
cyp,1997,
cyp,1998,
cyp,1999,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,90.59834
cyp,2009,91.42201
cyp,2010,89.96701
cyp,2011,98.96703
cyp,2012,89.70279
cyp,2013,80.94689
cyp,2014,86.26479
cyp,2015,75.28595
cyp,2016,71.89183
cyp,2017,73.54983
cyp,2018,77.13914
cyp,2019,76.1244
cyp,2020,78.91383
cyp,2021,70.39293
cyp,2022,69.71192
cyp,2023,
cze,1990,
cze,1991,
cze,1992,
cze,1993,
cze,1994,
cze,1995,
cze,1996,
cze,1997,
cze,1998,
cze,1999,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,22.18134
cze,2009,21.86113
cze,2010,19.40857
cze,2011,19.95938
cze,2012,23.01397
cze,2013,16.83366
cze,2014,22.14849
cze,2015,19.26507
cze,2016,18.69934
cze,2017,14.55898
cze,2018,20.70935
cze,2019,18.13409
cze,2020,20.81802
cze,2021,22.9677
cze,2022,19.75231
cze,2023,
dnk,1990,
dnk,1991,
dnk,1992,
dnk,1993,
dnk,1994,
dnk,1995,
dnk,1996,
dnk,1997,
dnk,1998,
dnk,1999,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,53.51355
dnk,2009,70.9478
dnk,2010,64.65431
dnk,2011,76.43792
dnk,2012,69.28311
dnk,2013,70.71081
dnk,2014,67.13005
dnk,2015,61.90291
dnk,2016,62.4801
dnk,2017,80.53348
dnk,2018,67.70552
dnk,2019,69.26396
dnk,2020,74.94099
dnk,2021,71.57298
