country,year,ae_cap_edu
aut,1990,
aut,1991,
aut,1992,
aut,1993,
aut,1994,
aut,1995,
aut,1996,
aut,1997,
aut,1998,
aut,1999,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,19.1537
aut,2009,15.66551
aut,2010,12.49061
aut,2011,11.66006
aut,2012,7.84684
aut,2013,7.85829
aut,2014,7.49946
aut,2015,7.53499
aut,2016,7.59589
aut,2017,8.00875
aut,2018,8.64573
aut,2019,9.49118
aut,2020,9.57633
aut,2021,10.42992
aut,2022,9.38713
aut,2023,
bel,1990,
bel,1991,
bel,1992,
bel,1993,
bel,1994,
bel,1995,
bel,1996,
bel,1997,
bel,1998,
bel,1999,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,81.53451
bel,2009,64.61831
bel,2010,67.69045
bel,2011,54.54813
bel,2012,48.84827
bel,2013,46.78341
bel,2014,41.01359
bel,2015,46.55428
bel,2016,45.5965
bel,2017,43.89495
bel,2018,41.37469
bel,2019,35.48861
bel,2020,33.04739
bel,2021,37.54916
bel,2022,33.46236
bel,2023,
bgr,1990,
bgr,1991,
bgr,1992,
bgr,1993,
bgr,1994,
bgr,1995,
bgr,1996,
bgr,1997,
bgr,1998,
bgr,1999,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,26.48207
bgr,2009,26.69021
bgr,2010,25.20758
bgr,2011,23.59824
bgr,2012,23.12048
bgr,2013,19.58931
bgr,2014,21.41982
bgr,2015,6.78334
bgr,2016,6.1396
bgr,2017,6.17115
bgr,2018,6.16194
bgr,2019,6.46912
bgr,2020,4.95264
bgr,2021,6.40496
bgr,2022,6.64312
bgr,2023,
hrv,1990,
hrv,1991,
hrv,1992,
hrv,1993,
hrv,1994,
hrv,1995,
hrv,1996,
hrv,1997,
hrv,1998,
hrv,1999,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,19.1696
hrv,2009,19.6724
hrv,2010,20.99357
hrv,2011,20.18812
hrv,2012,18.70261
hrv,2013,19.22389
hrv,2014,18.73673
hrv,2015,21.73185
hrv,2016,23.22266
hrv,2017,25.66672
hrv,2018,26.29577
hrv,2019,27.19148
hrv,2020,26.10859
hrv,2021,29.40706
hrv,2022,30.33734
hrv,2023,
cyp,1990,
cyp,1991,
cyp,1992,
cyp,1993,
cyp,1994,
cyp,1995,
cyp,1996,
cyp,1997,
cyp,1998,
cyp,1999,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,13.27201
cyp,2009,14.03196
cyp,2010,14.33609
cyp,2011,13.10651
cyp,2012,10.86674
cyp,2013,11.76495
cyp,2014,9.24751
cyp,2015,10.19716
cyp,2016,10.73993
cyp,2017,10.7057
cyp,2018,10.23691
cyp,2019,10.94243
cyp,2020,12.2159
cyp,2021,11.21164
cyp,2022,11.10802
cyp,2023,
cze,1990,
cze,1991,
cze,1992,
cze,1993,
cze,1994,
cze,1995,
cze,1996,
cze,1997,
cze,1998,
cze,1999,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,25.02573
cze,2009,32.25879
cze,2010,23.83979
cze,2011,22.28849
cze,2012,19.39675
cze,2013,16.34377
cze,2014,14.63947
cze,2015,14.61418
cze,2016,14.47885
cze,2017,3.77026
cze,2018,13.06205
cze,2019,10.81837
cze,2020,9.6992
cze,2021,11.26968
cze,2022,10.95947
cze,2023,
dnk,1990,
dnk,1991,
dnk,1992,
dnk,1993,
dnk,1994,
dnk,1995,
dnk,1996,
dnk,1997,
dnk,1998,
dnk,1999,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,26.83061
dnk,2009,31.3342
dnk,2010,33.56151
dnk,2011,32.6806
dnk,2012,33.73017
dnk,2013,32.15834
dnk,2014,29.54601
dnk,2015,31.34637
dnk,2016,27.87248
dnk,2017,27.076
dnk,2018,26.77686
dnk,2019,23.93154
dnk,2020,23.15871
dnk,2021,22.60221
