country,year,ae_cap_finance
aut,1990,
aut,1991,
aut,1992,
aut,1993,
aut,1994,
aut,1995,
aut,1996,
aut,1997,
aut,1998,
aut,1999,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,18.5088
aut,2009,15.5918
aut,2010,11.48316
aut,2011,7.87119
aut,2012,4.82237
aut,2013,4.65839
aut,2014,4.12742
aut,2015,3.93372
aut,2016,3.91027
aut,2017,5.52761
aut,2018,7.44412
aut,2019,8.69429
aut,2020,8.52859
aut,2021,9.76751
aut,2022,8.74774
aut,2023,
bel,1990,
bel,1991,
bel,1992,
bel,1993,
bel,1994,
bel,1995,
bel,1996,
bel,1997,
bel,1998,
bel,1999,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,27.05776
bel,2009,31.80128
bel,2010,32.86955
bel,2011,28.46903
bel,2012,28.22866
bel,2013,29.72814
bel,2014,24.36495
bel,2015,26.95129
bel,2016,27.24576
bel,2017,26.61575
bel,2018,26.1935
bel,2019,23.55977
bel,2020,20.5555
bel,2021,19.59507
bel,2022,17.42577
bel,2023,
bgr,1990,
bgr,1991,
bgr,1992,
bgr,1993,
bgr,1994,
bgr,1995,
bgr,1996,
bgr,1997,
bgr,1998,
bgr,1999,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,4.06939
bgr,2009,4.1545
bgr,2010,3.95523
bgr,2011,3.72633
bgr,2012,3.60054
bgr,2013,3.04184
bgr,2014,3.45377
bgr,2015,0.9161
bgr,2016,1.00639
bgr,2017,0.95521
bgr,2018,0.9633
bgr,2019,1.0727
bgr,2020,0.96392
bgr,2021,1.19992
bgr,2022,1.19644
bgr,2023,
hrv,1990,
hrv,1991,
hrv,1992,
hrv,1993,
hrv,1994,
hrv,1995,
hrv,1996,
hrv,1997,
hrv,1998,
hrv,1999,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,15.33533
hrv,2009,15.49128
hrv,2010,16.45382
hrv,2011,15.44622
hrv,2012,13.93432
hrv,2013,13.52066
hrv,2014,12.8448
hrv,2015,15.49295
hrv,2016,16.36458
hrv,2017,17.45949
hrv,2018,17.72154
hrv,2019,17.78986
hrv,2020,16.82585
hrv,2021,19.4002
hrv,2022,19.68424
hrv,2023,
cyp,1990,
cyp,1991,
cyp,1992,
cyp,1993,
cyp,1994,
cyp,1995,
cyp,1996,
cyp,1997,
cyp,1998,
cyp,1999,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,15.60154
cyp,2009,14.02638
cyp,2010,15.10703
cyp,2011,16.90331
cyp,2012,13.26869
cyp,2013,14.89055
cyp,2014,11.53312
cyp,2015,14.65983
cyp,2016,14.52284
cyp,2017,15.1039
cyp,2018,14.73976
cyp,2019,19.01587
cyp,2020,20.44497
cyp,2021,19.32044
cyp,2022,19.14301
cyp,2023,
cze,1990,
cze,1991,
cze,1992,
cze,1993,
cze,1994,
cze,1995,
cze,1996,
cze,1997,
cze,1998,
cze,1999,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,6.32481
cze,2009,6.77744
cze,2010,4.74511
cze,2011,5.34488
cze,2012,5.67498
cze,2013,5.23393
cze,2014,5.2069
cze,2015,4.64766
cze,2016,5.14629
cze,2017,5.22921
cze,2018,5.57617
cze,2019,4.60713
cze,2020,4.49345
cze,2021,3.52032
cze,2022,3.38325
cze,2023,
dnk,1990,
dnk,1991,
dnk,1992,
dnk,1993,
dnk,1994,
dnk,1995,
dnk,1996,
dnk,1997,
dnk,1998,
dnk,1999,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,14.3644
dnk,2009,13.00226
dnk,2010,12.26583
dnk,2011,11.2909
dnk,2012,10.55449
dnk,2013,9.94349
dnk,2014,9.05961
dnk,2015,8.94342
dnk,2016,10.39561
dnk,2017,9.87428
dnk,2018,9.82371
dnk,2019,8.99139
dnk,2020,8.40283
dnk,2021,8.22341
