country,year,ae_cap_food
aut,1990,
aut,1991,
aut,1992,
aut,1993,
aut,1994,
aut,1995,
aut,1996,
aut,1997,
aut,1998,
aut,1999,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,89.00832
aut,2009,77.50253
aut,2010,69.58354
aut,2011,61.77837
aut,2012,52.64583
aut,2013,50.35316
aut,2014,46.69804
aut,2015,45.28835
aut,2016,43.8565
aut,2017,49.34035
aut,2018,47.3891
aut,2019,44.32385
aut,2020,37.15992
aut,2021,39.37935
aut,2022,35.71821
aut,2023,
bel,1990,
bel,1991,
bel,1992,
bel,1993,
bel,1994,
bel,1995,
bel,1996,
bel,1997,
bel,1998,
bel,1999,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,51.83882
bel,2009,52.73296
bel,2010,65.53925
bel,2011,54.06065
bel,2012,64.69367
bel,2013,71.0599
bel,2014,53.00615
bel,2015,58.00154
bel,2016,59.4418
bel,2017,59.12327
bel,2018,64.50757
bel,2019,62.49937
bel,2020,55.33702
bel,2021,60.01848
bel,2022,52.13133
bel,2023,
bgr,1990,
bgr,1991,
bgr,1992,
bgr,1993,
bgr,1994,
bgr,1995,
bgr,1996,
bgr,1997,
bgr,1998,
bgr,1999,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,11.13647
bgr,2009,10.74579
bgr,2010,10.18579
bgr,2011,9.95951
bgr,2012,10.32992
bgr,2013,9.58497
bgr,2014,9.96164
bgr,2015,8.78484
bgr,2016,9.0819
bgr,2017,9.29121
bgr,2018,11.37711
bgr,2019,12.99574
bgr,2020,8.83853
bgr,2021,11.5762
bgr,2022,12.28975
bgr,2023,
hrv,1990,
hrv,1991,
hrv,1992,
hrv,1993,
hrv,1994,
hrv,1995,
hrv,1996,
hrv,1997,
hrv,1998,
hrv,1999,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,12.14075
hrv,2009,12.36497
hrv,2010,13.28271
hrv,2011,12.52949
hrv,2012,11.64315
hrv,2013,11.64463
hrv,2014,11.14942
hrv,2015,12.91454
hrv,2016,13.54528
hrv,2017,14.96474
hrv,2018,15.13058
hrv,2019,15.5131
hrv,2020,14.82375
hrv,2021,16.84962
hrv,2022,17.43831
hrv,2023,
cyp,1990,
cyp,1991,
cyp,1992,
cyp,1993,
cyp,1994,
cyp,1995,
cyp,1996,
cyp,1997,
cyp,1998,
cyp,1999,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,89.27911
cyp,2009,84.28179
cyp,2010,88.60191
cyp,2011,85.21826
cyp,2012,71.54741
cyp,2013,74.9856
cyp,2014,69.23527
cyp,2015,75.76756
cyp,2016,77.10159
cyp,2017,84.03003
cyp,2018,84.10795
cyp,2019,100.46001
cyp,2020,75.17065
cyp,2021,79.17787
cyp,2022,78.67311
cyp,2023,
cze,1990,
cze,1991,
cze,1992,
cze,1993,
cze,1994,
cze,1995,
cze,1996,
cze,1997,
cze,1998,
cze,1999,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,10.36965
cze,2009,19.12976
cze,2010,15.77243
cze,2011,16.69054
cze,2012,14.89824
cze,2013,14.42901
cze,2014,13.81729
cze,2015,14.6173
cze,2016,15.17497
cze,2017,4.15463
cze,2018,7.37519
cze,2019,8.82619
cze,2020,4.14383
cze,2021,6.4129
cze,2022,6.13923
cze,2023,
dnk,1990,
dnk,1991,
dnk,1992,
dnk,1993,
dnk,1994,
dnk,1995,
dnk,1996,
dnk,1997,
dnk,1998,
dnk,1999,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,36.54044
dnk,2009,34.19337
dnk,2010,36.12178
dnk,2011,31.98594
dnk,2012,28.97742
dnk,2013,26.09748
dnk,2014,24.31473
dnk,2015,24.80866
dnk,2016,24.98139
dnk,2017,25.68642
dnk,2018,24.76998
dnk,2019,21.81667
dnk,2020,19.23476
dnk,2021,21.12881
