country,year,ae_cap_manu
aut,1990,
aut,1991,
aut,1992,
aut,1993,
aut,1994,
aut,1995,
aut,1996,
aut,1997,
aut,1998,
aut,1999,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,3487.21314
aut,2009,3031.29662
aut,2010,3329.09754
aut,2011,3297.10515
aut,2012,3195.62786
aut,2013,3166.43737
aut,2014,3096.24941
aut,2015,3120.67812
aut,2016,3056.07057
aut,2017,3129.29128
aut,2018,2936.06218
aut,2019,3031.44447
aut,2020,2878.65006
aut,2021,3082.26838
aut,2022,2852.35343
aut,2023,
bel,1990,
bel,1991,
bel,1992,
bel,1993,
bel,1994,
bel,1995,
bel,1996,
bel,1997,
bel,1998,
bel,1999,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,4393.02606
bel,2009,3320.00455
bel,2010,3716.39913
bel,2011,3525.36478
bel,2012,3277.62349
bel,2013,3284.17148
bel,2014,3286.55848
bel,2015,3254.34658
bel,2016,3255.74086
bel,2017,3258.39946
bel,2018,3276.64336
bel,2019,3235.57288
bel,2020,2967.76616
bel,2021,3018.00768
bel,2022,2808.52007
bel,2023,
bgr,1990,
bgr,1991,
bgr,1992,
bgr,1993,
bgr,1994,
bgr,1995,
bgr,1996,
bgr,1997,
bgr,1998,
bgr,1999,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,1726.18479
bgr,2009,1040.89328
bgr,2010,1071.78961
bgr,2011,1067.97326
bgr,2012,1021.44957
bgr,2013,1037.39807
bgr,2014,1070.27332
bgr,2015,1192.19759
bgr,2016,1283.34696
bgr,2017,1389.02511
bgr,2018,1376.49315
bgr,2019,1361.27165
bgr,2020,1286.93825
bgr,2021,1344.19106
bgr,2022,1298.52606
bgr,2023,
hrv,1990,
hrv,1991,
hrv,1992,
hrv,1993,
hrv,1994,
hrv,1995,
hrv,1996,
hrv,1997,
hrv,1998,
hrv,1999,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,1767.63328
hrv,2009,1537.92556
hrv,2010,1519.85725
hrv,2011,1525.15931
hrv,2012,1431.09737
hrv,2013,1281.22105
hrv,2014,1336.17958
hrv,2015,1301.44293
hrv,2016,1212.19622
hrv,2017,1348.05591
hrv,2018,1326.69009
hrv,2019,1268.75001
hrv,2020,1215.76408
hrv,2021,1221.84551
hrv,2022,1133.02924
hrv,2023,
cyp,1990,
cyp,1991,
cyp,1992,
cyp,1993,
cyp,1994,
cyp,1995,
cyp,1996,
cyp,1997,
cyp,1998,
cyp,1999,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,2516.14394
cyp,2009,2085.64424
cyp,2010,1752.20354
cyp,2011,1513.67871
cyp,2012,1266.01981
cyp,2013,1619.45913
cyp,2014,2057.1748
cyp,2015,1853.93367
cyp,2016,1851.99915
cyp,2017,1911.95702
cyp,2018,1733.94493
cyp,2019,1662.02497
cyp,2020,1757.39393
cyp,2021,1694.23668
cyp,2022,1680.36558
cyp,2023,
cze,1990,
cze,1991,
cze,1992,
cze,1993,
cze,1994,
cze,1995,
cze,1996,
cze,1997,
cze,1998,
cze,1999,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,2714.93851
cze,2009,2269.11676
cze,2010,2114.48753
cze,2011,1993.94066
cze,2012,1890.15382
cze,2013,1848.83678
cze,2014,1874.73683
cze,2015,1803.07923
cze,2016,1776.07897
cze,2017,1738.11243
cze,2018,1790.16819
cze,2019,1717.19476
cze,2020,1632.65393
cze,2021,1787.28539
cze,2022,1654.98185
cze,2023,
dnk,1990,
dnk,1991,
dnk,1992,
dnk,1993,
dnk,1994,
dnk,1995,
dnk,1996,
dnk,1997,
dnk,1998,
dnk,1999,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,1279.03986
dnk,2009,1062.81545
dnk,2010,1072.13903
dnk,2011,1098.5186
dnk,2012,1060.49922
dnk,2013,1002.78498
