country,year,ae_cap_mine
aut,1990,
aut,1991,
aut,1992,
aut,1993,
aut,1994,
aut,1995,
aut,1996,
aut,1997,
aut,1998,
aut,1999,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,127.89254
aut,2009,122.52831
aut,2010,127.67206
aut,2011,131.35087
aut,2012,118.12238
aut,2013,103.65458
aut,2014,102.18883
aut,2015,95.11268
aut,2016,92.08075
aut,2017,98.84195
aut,2018,93.88714
aut,2019,89.41976
aut,2020,85.04053
aut,2021,98.1652
aut,2022,92.13022
aut,2023,
bel,1990,
bel,1991,
bel,1992,
bel,1993,
bel,1994,
bel,1995,
bel,1996,
bel,1997,
bel,1998,
bel,1999,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,76.12885
bel,2009,60.71114
bel,2010,64.40664
bel,2011,68.56568
bel,2012,64.0102
bel,2013,57.1687
bel,2014,55.3505
bel,2015,38.72018
bel,2016,40.54448
bel,2017,38.54926
bel,2018,40.03323
bel,2019,41.36071
bel,2020,39.35146
bel,2021,39.68977
bel,2022,38.84247
bel,2023,
bgr,1990,
bgr,1991,
bgr,1992,
bgr,1993,
bgr,1994,
bgr,1995,
bgr,1996,
bgr,1997,
bgr,1998,
bgr,1999,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,218.47269
bgr,2009,206.7236
bgr,2010,214.46168
bgr,2011,254.75426
bgr,2012,233.95666
bgr,2013,206.08873
bgr,2014,213.22114
bgr,2015,240.36715
bgr,2016,222.08519
bgr,2017,241.61755
bgr,2018,218.63147
bgr,2019,198.56342
bgr,2020,187.26384
bgr,2021,215.30368
bgr,2022,247.01552
bgr,2023,
hrv,1990,
hrv,1991,
hrv,1992,
hrv,1993,
hrv,1994,
hrv,1995,
hrv,1996,
hrv,1997,
hrv,1998,
hrv,1999,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,258.537
hrv,2009,273.48594
hrv,2010,284.46483
hrv,2011,246.87665
hrv,2012,201.6101
hrv,2013,198.21131
hrv,2014,182.58592
hrv,2015,154.10647
hrv,2016,143.84193
hrv,2017,165.91398
hrv,2018,154.16735
hrv,2019,162.09956
hrv,2020,148.62275
hrv,2021,158.2523
hrv,2022,158.08957
hrv,2023,
cyp,1990,
cyp,1991,
cyp,1992,
cyp,1993,
cyp,1994,
cyp,1995,
cyp,1996,
cyp,1997,
cyp,1998,
cyp,1999,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,42.988
cyp,2009,35.72713
cyp,2010,27.58601
cyp,2011,35.72429
cyp,2012,29.90141
cyp,2013,13.67936
cyp,2014,19.03248
cyp,2015,15.30636
cyp,2016,16.95116
cyp,2017,24.49667
cyp,2018,34.29923
cyp,2019,43.2462
cyp,2020,46.98688
cyp,2021,27.9946
cyp,2022,27.6906
cyp,2023,
cze,1990,
cze,1991,
cze,1992,
cze,1993,
cze,1994,
cze,1995,
cze,1996,
cze,1997,
cze,1998,
cze,1999,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,1020.40538
cze,2009,898.99146
cze,2010,911.75315
cze,2011,905.57944
cze,2012,893.87036
cze,2013,785.13235
cze,2014,780.79879
cze,2015,771.75854
cze,2016,732.63582
cze,2017,673.12688
cze,2018,668.59914
cze,2019,572.97862
cze,2020,474.84691
cze,2021,430.48446
cze,2022,436.3824
cze,2023,
dnk,1990,
dnk,1991,
dnk,1992,
dnk,1993,
dnk,1994,
dnk,1995,
dnk,1996,
dnk,1997,
dnk,1998,
dnk,1999,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,440.33501
dnk,2009,389.64483
dnk,2010,400.77831
dnk,2011,357.82927
dnk,2012,347.90628
dnk,2013,334.4166
dnk,2014,328.71877
dnk,2015,333.42898
dnk,2016,312.45385
dnk,2017,310.95652
dnk,2018,293.62768
dnk,2019,268.46649
dnk,2020,184.94765
dnk,2021,208.26496
