country,year,ae_cap_other
aut,1990,
aut,1991,
aut,1992,
aut,1993,
aut,1994,
aut,1995,
aut,1996,
aut,1997,
aut,1998,
aut,1999,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,24.27001
aut,2009,18.64883
aut,2010,15.19645
aut,2011,12.26786
aut,2012,9.88795
aut,2013,7.83525
aut,2014,9.16611
aut,2015,9.32773
aut,2016,9.44114
aut,2017,11.91317
aut,2018,12.16781
aut,2019,21.79778
aut,2020,21.92909
aut,2021,25.67694
aut,2022,22.96729
aut,2023,
bel,1990,
bel,1991,
bel,1992,
bel,1993,
bel,1994,
bel,1995,
bel,1996,
bel,1997,
bel,1998,
bel,1999,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,28.63357
bel,2009,30.41358
bel,2010,31.7248
bel,2011,26.87564
bel,2012,27.08598
bel,2013,30.83423
bel,2014,36.45008
bel,2015,40.92927
bel,2016,45.13866
bel,2017,52.37082
bel,2018,54.05126
bel,2019,54.07297
bel,2020,40.78889
bel,2021,44.89111
bel,2022,40.29517
bel,2023,
bgr,1990,
bgr,1991,
bgr,1992,
bgr,1993,
bgr,1994,
bgr,1995,
bgr,1996,
bgr,1997,
bgr,1998,
bgr,1999,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,4.33803
bgr,2009,4.23012
bgr,2010,3.96702
bgr,2011,3.76311
bgr,2012,3.7874
bgr,2013,3.25458
bgr,2014,3.32868
bgr,2015,2.06613
bgr,2016,2.3872
bgr,2017,2.81437
bgr,2018,2.84332
bgr,2019,3.23575
bgr,2020,2.60468
bgr,2021,3.21885
bgr,2022,3.18767
bgr,2023,
hrv,1990,
hrv,1991,
hrv,1992,
hrv,1993,
hrv,1994,
hrv,1995,
hrv,1996,
hrv,1997,
hrv,1998,
hrv,1999,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,20.71114
hrv,2009,20.95796
hrv,2010,21.76
hrv,2011,21.0078
hrv,2012,19.57172
hrv,2013,19.74234
hrv,2014,18.79505
hrv,2015,21.25299
hrv,2016,22.5089
hrv,2017,25.68862
hrv,2018,26.00688
hrv,2019,27.1703
hrv,2020,25.95558
hrv,2021,29.59615
hrv,2022,30.09542
hrv,2023,
cyp,1990,
cyp,1991,
cyp,1992,
cyp,1993,
cyp,1994,
cyp,1995,
cyp,1996,
cyp,1997,
cyp,1998,
cyp,1999,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,22.69876
cyp,2009,21.06222
cyp,2010,23.93428
cyp,2011,17.69095
cyp,2012,20.59292
cyp,2013,20.49934
cyp,2014,18.52212
cyp,2015,20.61295
cyp,2016,21.91219
cyp,2017,22.29677
cyp,2018,21.3223
cyp,2019,24.89172
cyp,2020,16.49605
cyp,2021,17.34375
cyp,2022,17.17104
cyp,2023,
cze,1990,
cze,1991,
cze,1992,
cze,1993,
cze,1994,
cze,1995,
cze,1996,
cze,1997,
cze,1998,
cze,1999,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,5.22582
cze,2009,5.6111
cze,2010,5.78934
cze,2011,5.47769
cze,2012,5.07327
cze,2013,4.6457
cze,2014,4.86145
cze,2015,4.54555
cze,2016,4.60763
cze,2017,3.32049
cze,2018,4.37698
cze,2019,3.9451
cze,2020,2.81576
cze,2021,2.77753
cze,2022,2.67327
cze,2023,
dnk,1990,
dnk,1991,
dnk,1992,
dnk,1993,
dnk,1994,
dnk,1995,
dnk,1996,
dnk,1997,
dnk,1998,
dnk,1999,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,19.37395
dnk,2009,18.08272
dnk,2010,18.77139
dnk,2011,13.22079
dnk,2012,14.03866
dnk,2013,12.36377
dnk,2014,11.00263
dnk,2015,11.91744
dnk,2016,11.2681
dnk,2017,11.51581
dnk,2018,11.43596
dnk,2019,11.92277
dnk,2020,11.29636
dnk,2021,11.75035
dnk,2022,10.15787
