country,year,ae_cap_prof
aut,1990,
aut,1991,
aut,1992,
aut,1993,
aut,1994,
aut,1995,
aut,1996,
aut,1997,
aut,1998,
aut,1999,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,37.11649
aut,2009,31.76903
aut,2010,33.85288
aut,2011,28.16346
aut,2012,26.65984
aut,2013,24.38951
aut,2014,20.49138
aut,2015,20.61106
aut,2016,21.59166
aut,2017,20.17508
aut,2018,23.82475
aut,2019,22.88536
aut,2020,24.35472
aut,2021,28.11594
aut,2022,25.057
aut,2023,
bel,1990,
bel,1991,
bel,1992,
bel,1993,
bel,1994,
bel,1995,
bel,1996,
bel,1997,
bel,1998,
bel,1999,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,72.86877
bel,2009,81.82315
bel,2010,92.68299
bel,2011,81.47778
bel,2012,84.4373
bel,2013,94.81494
bel,2014,78.84593
bel,2015,87.84944
bel,2016,94.28702
bel,2017,97.54246
bel,2018,97.22162
bel,2019,105.8952
bel,2020,95.44649
bel,2021,102.2311
bel,2022,89.98534
bel,2023,
bgr,1990,
bgr,1991,
bgr,1992,
bgr,1993,
bgr,1994,
bgr,1995,
bgr,1996,
bgr,1997,
bgr,1998,
bgr,1999,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,8.22337
bgr,2009,8.31898
bgr,2010,8.00905
bgr,2011,7.70362
bgr,2012,7.71977
bgr,2013,6.59756
bgr,2014,7.46112
bgr,2015,4.41707
bgr,2016,5.8374
bgr,2017,4.42285
bgr,2018,4.91977
bgr,2019,5.40418
bgr,2020,4.67957
bgr,2021,4.9606
bgr,2022,4.97459
bgr,2023,
hrv,1990,
hrv,1991,
hrv,1992,
hrv,1993,
hrv,1994,
hrv,1995,
hrv,1996,
hrv,1997,
hrv,1998,
hrv,1999,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,37.04948
hrv,2009,37.55852
hrv,2010,39.04633
hrv,2011,37.66249
hrv,2012,35.30519
hrv,2013,35.05539
hrv,2014,33.78125
hrv,2015,38.65845
hrv,2016,41.11158
hrv,2017,45.82979
hrv,2018,46.61238
hrv,2019,48.27055
hrv,2020,46.29296
hrv,2021,52.87189
hrv,2022,54.37096
hrv,2023,
cyp,1990,
cyp,1991,
cyp,1992,
cyp,1993,
cyp,1994,
cyp,1995,
cyp,1996,
cyp,1997,
cyp,1998,
cyp,1999,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,23.03323
cyp,2009,28.05574
cyp,2010,28.86095
cyp,2011,26.16736
cyp,2012,21.80804
cyp,2013,19.96337
cyp,2014,20.66734
cyp,2015,23.96634
cyp,2016,26.86598
cyp,2017,30.40698
cyp,2018,28.44297
cyp,2019,30.24384
cyp,2020,31.36872
cyp,2021,33.59405
cyp,2022,33.26719
cyp,2023,
cze,1990,
cze,1991,
cze,1992,
cze,1993,
cze,1994,
cze,1995,
cze,1996,
cze,1997,
cze,1998,
cze,1999,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,13.73798
cze,2009,19.69115
cze,2010,21.2859
cze,2011,18.09013
cze,2012,19.10747
cze,2013,16.49185
cze,2014,15.31028
cze,2015,17.00523
cze,2016,18.11559
cze,2017,16.85326
cze,2018,21.56048
cze,2019,18.71681
cze,2020,12.28461
cze,2021,14.27437
cze,2022,13.69314
cze,2023,
dnk,1990,
dnk,1991,
dnk,1992,
dnk,1993,
dnk,1994,
dnk,1995,
dnk,1996,
dnk,1997,
dnk,1998,
dnk,1999,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,35.54586
dnk,2009,33.93095
dnk,2010,34.66417
dnk,2011,29.3
dnk,2012,29.28927
dnk,2013,25.4617
dnk,2014,24.67564
dnk,2015,25.8024
dnk,2016,26.62151
dnk,2017,26.76097
dnk,2018,27.56895
dnk,2019,26.73858
dnk,2020,26.29086
dnk,2021,29.93751
dnk,2022,25.44956
