country,year,ae_cap_total
aut,1990,
aut,1991,
aut,1992,
aut,1993,
aut,1994,
aut,1995,
aut,1996,
aut,1997,
aut,1998,
aut,1999,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,8097.29169
aut,2009,7308.61785
aut,2010,7700.61164
aut,2011,7481.44806
aut,2012,7098.29569
aut,2013,6888.2559
aut,2014,6561.10719
aut,2015,6612.9999
aut,2016,6464.01801
aut,2017,6743.43574
aut,2018,6412.81144
aut,2019,6733.22511
aut,2020,6017.71763
aut,2021,6421.10046
aut,2022,6063.69521
aut,2023,
bel,1990,
bel,1991,
bel,1992,
bel,1993,
bel,1994,
bel,1995,
bel,1996,
bel,1997,
bel,1998,
bel,1999,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,9840.86232
bel,2009,8740.69023
bel,2010,9243.21652
bel,2011,8519.66804
bel,2012,8149.775
bel,2013,7916.20846
bel,2014,7686.15455
bel,2015,7876.22088
bel,2016,7799.07179
bel,2017,7776.92529
bel,2018,7879.66922
bel,2019,7840.27431
bel,2020,7188.13112
bel,2021,7139.44492
bel,2022,6821.00224
bel,2023,
bgr,1990,
bgr,1991,
bgr,1992,
bgr,1993,
bgr,1994,
bgr,1995,
bgr,1996,
bgr,1997,
bgr,1998,
bgr,1999,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,8374.2781
bgr,2009,7277.82803
bgr,2010,7673.49985
bgr,2011,8424.93182
bgr,2012,7808.04243
bgr,2013,7144.2987
bgr,2014,7661.68575
bgr,2015,8111.63072
bgr,2016,7823.7315
bgr,2017,8175.20626
bgr,2018,7600.56984
bgr,2019,7453.70639
bgr,2020,6577.15614
bgr,2021,7510.44321
bgr,2022,8466.05023
bgr,2023,
hrv,1990,
hrv,1991,
hrv,1992,
hrv,1993,
hrv,1994,
hrv,1995,
hrv,1996,
hrv,1997,
hrv,1998,
hrv,1999,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,5743.59696
hrv,2009,5214.6134
hrv,2010,5173.00691
hrv,2011,5157.44284
hrv,2012,4777.32094
hrv,2013,4573.17593
hrv,2014,4448.44546
hrv,2015,4494.55246
hrv,2016,4522.79009
hrv,2017,4768.41687
hrv,2018,4551.69066
hrv,2019,4631.0666
hrv,2020,4481.23973
hrv,2021,4627.93616
hrv,2022,4606.96281
hrv,2023,
cyp,1990,
cyp,1991,
cyp,1992,
cyp,1993,
cyp,1994,
cyp,1995,
cyp,1996,
cyp,1997,
cyp,1998,
cyp,1999,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,11183.7357
cyp,2009,10530.2233
cyp,2010,9810.26208
cyp,2011,8894.26975
cyp,2012,8044.42837
cyp,2013,7322.76643
cyp,2014,7810.89818
cyp,2015,7646.758
cyp,2016,8062.7738
cyp,2017,8306.2466
cyp,2018,8279.13371
cyp,2019,7969.95725
cyp,2020,7682.75074
cyp,2021,7643.43548
cyp,2022,7642.78891
cyp,2023,
cze,1990,
cze,1991,
cze,1992,
cze,1993,
cze,1994,
cze,1995,
cze,1996,
cze,1997,
cze,1998,
cze,1999,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,12088.28426
cze,2009,11049.66242
cze,2010,11228.22011
cze,2011,10997.93247
cze,2012,10544.7857
cze,2013,10067.36575
cze,2014,10008.26181
cze,2015,9937.44199
cze,2016,10111.07044
cze,2017,9905.88561
cze,2018,9963.43931
cze,2019,9416.23422
cze,2020,8426.27723
cze,2021,9081.70165
cze,2022,8901.41274
cze,2023,
dnk,1990,
dnk,1991,
dnk,1992,
dnk,1993,
dnk,1994,
dnk,1995,
dnk,1996,
dnk,1997,
dnk,1998,
dnk,1999,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,18472.87579
dnk,2009,17176.54755
dnk,2010,16767.33174
dnk,2011,16608.38602
dnk,2012,15347.31062
dnk,2013,15031.1239
dnk,2014,13930.93879
