country,year,ae_cap_transp
aut,1990,
aut,1991,
aut,1992,
aut,1993,
aut,1994,
aut,1995,
aut,1996,
aut,1997,
aut,1998,
aut,1999,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,1008.67794
aut,2009,924.99256
aut,2010,914.16712
aut,2011,843.40403
aut,2012,781.88445
aut,2013,754.66589
aut,2014,741.84202
aut,2015,705.55135
aut,2016,691.54339
aut,2017,805.29619
aut,2018,790.53154
aut,2019,1037.45985
aut,2020,653.26665
aut,2021,824.8265
aut,2022,787.85671
aut,2023,
bel,1990,
bel,1991,
bel,1992,
bel,1993,
bel,1994,
bel,1995,
bel,1996,
bel,1997,
bel,1998,
bel,1999,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,797.68715
bel,2009,786.69059
bel,2010,793.64496
bel,2011,737.38165
bel,2012,673.20128
bel,2013,540.74232
bel,2014,551.3526
bel,2015,632.43282
bel,2016,678.24785
bel,2017,637.41978
bel,2018,681.91443
bel,2019,686.73741
bel,2020,566.03667
bel,2021,542.85041
bel,2022,537.7858
bel,2023,
bgr,1990,
bgr,1991,
bgr,1992,
bgr,1993,
bgr,1994,
bgr,1995,
bgr,1996,
bgr,1997,
bgr,1998,
bgr,1999,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,874.09415
bgr,2009,817.11555
bgr,2010,793.64648
bgr,2011,823.28723
bgr,2012,860.55159
bgr,2013,771.49504
bgr,2014,866.49884
bgr,2015,950.34027
bgr,2016,1027.56938
bgr,2017,1053.88858
bgr,2018,1010.69571
bgr,2019,1039.77894
bgr,2020,945.02498
bgr,2021,1068.99073
bgr,2022,1150.52033
bgr,2023,
hrv,1990,
hrv,1991,
hrv,1992,
hrv,1993,
hrv,1994,
hrv,1995,
hrv,1996,
hrv,1997,
hrv,1998,
hrv,1999,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,348.57349
hrv,2009,348.69356
hrv,2010,364.56187
hrv,2011,343.66514
hrv,2012,295.05511
hrv,2013,349.10711
hrv,2014,335.48348
hrv,2015,350.62555
hrv,2016,360.14087
hrv,2017,422.86616
hrv,2018,380.54099
hrv,2019,400.48485
hrv,2020,325.63284
hrv,2021,350.19918
hrv,2022,344.85069
hrv,2023,
cyp,1990,
cyp,1991,
cyp,1992,
cyp,1993,
cyp,1994,
cyp,1995,
cyp,1996,
cyp,1997,
cyp,1998,
cyp,1999,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,1206.73786
cyp,2009,1203.70345
cyp,2010,1133.20805
cyp,2011,841.56506
cyp,2012,634.52948
cyp,2013,495.22013
cyp,2014,387.29741
cyp,2015,248.52685
cyp,2016,308.77165
cyp,2017,456.81257
cyp,2018,585.89761
cyp,2019,374.92311
cyp,2020,315.94849
cyp,2021,316.56182
cyp,2022,313.0992
cyp,2023,
cze,1990,
cze,1991,
cze,1992,
cze,1993,
cze,1994,
cze,1995,
cze,1996,
cze,1997,
cze,1998,
cze,1999,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,881.39787
cze,2009,798.47697
cze,2010,757.87718
cze,2011,733.88288
cze,2012,710.06304
cze,2013,698.5448
cze,2014,724.56967
cze,2015,757.43777
cze,2016,827.99697
cze,2017,864.31708
cze,2018,844.4803
cze,2019,872.56899
cze,2020,737.32542
cze,2021,867.58741
cze,2022,962.59281
cze,2023,
dnk,1990,
dnk,1991,
dnk,1992,
dnk,1993,
dnk,1994,
dnk,1995,
dnk,1996,
dnk,1997,
dnk,1998,
dnk,1999,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,8868.9977
dnk,2009,7988.26151
dnk,2010,7564.6333
dnk,2011,7981.66566
dnk,2012,7531.61573
dnk,2013,6877.20301
dnk,2014,6636.77817
dnk,2015,7073.86868
dnk,2016,7244.2193
dnk,2017,7490.89321
dnk,2018,8092.04176
dnk,2019,8148.33051
