country,year,ae_ton_admin
aut,1990,
aut,1991,
aut,1992,
aut,1993,
aut,1994,
aut,1995,
aut,1996,
aut,1997,
aut,1998,
aut,1999,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,381.622
aut,2009,340.58062
aut,2010,339.58954
aut,2011,376.16426
aut,2012,354.22705
aut,2013,350.24272
aut,2014,332.36895
aut,2015,298.56942
aut,2016,271.88088
aut,2017,307.04694
aut,2018,357.37402
aut,2019,384.69591
aut,2020,413.4868
aut,2021,487.32788
aut,2022,446.23302
aut,2023,
bel,1990,
bel,1991,
bel,1992,
bel,1993,
bel,1994,
bel,1995,
bel,1996,
bel,1997,
bel,1998,
bel,1999,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,1550.53302
bel,2009,1592.87179
bel,2010,1705.51817
bel,2011,1615.58904
bel,2012,1607.74556
bel,2013,1726.29673
bel,2014,1695.48727
bel,2015,1807.20996
bel,2016,1950.24066
bel,2017,2014.90365
bel,2018,2143.27301
bel,2019,2258.3333
bel,2020,1860.05484
bel,2021,1781.25527
bel,2022,1707.24209
bel,2023,
bgr,1990,
bgr,1991,
bgr,1992,
bgr,1993,
bgr,1994,
bgr,1995,
bgr,1996,
bgr,1997,
bgr,1998,
bgr,1999,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,123.46749
bgr,2009,118.79911
bgr,2010,111.92376
bgr,2011,107.86294
bgr,2012,110.47458
bgr,2013,95.43982
bgr,2014,98.06039
bgr,2015,104.03413
bgr,2016,99.7096
bgr,2017,104.64892
bgr,2018,119.40886
bgr,2019,119.72011
bgr,2020,105.33799
bgr,2021,113.72182
bgr,2022,111.82434
bgr,2023,
can,1990,
can,1991,
can,1992,
can,1993,
can,1994,
can,1995,
can,1996,
can,1997,
can,1998,
can,1999,
can,2000,
can,2001,
can,2002,
can,2003,
can,2004,
can,2005,
can,2006,
can,2007,
can,2008,
can,2009,3457
can,2010,2935
can,2011,2521
can,2012,2296
can,2013,1971
can,2014,2099
can,2015,2472
can,2016,2551
can,2017,2570
can,2018,2669
can,2019,2726
can,2020,2451
can,2021,2545
can,2022,
can,2023,
hrv,1990,
hrv,1991,
hrv,1992,
hrv,1993,
hrv,1994,
hrv,1995,
hrv,1996,
hrv,1997,
hrv,1998,
hrv,1999,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,111.99566
hrv,2009,112.62741
hrv,2010,116.10003
hrv,2011,110.29002
hrv,2012,100.23195
hrv,2013,102.88245
hrv,2014,96.59174
hrv,2015,108.29119
hrv,2016,112.22278
hrv,2017,125.53194
hrv,2018,123.40903
hrv,2019,127.03416
hrv,2020,116.2553
hrv,2021,127.99633
hrv,2022,125.8313
hrv,2023,
cyp,1990,
cyp,1991,
cyp,1992,
cyp,1993,
cyp,1994,
cyp,1995,
cyp,1996,
cyp,1997,
cyp,1998,
cyp,1999,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,37.01433
cyp,2009,34.95444
cyp,2010,36.05909
cyp,2011,30.86574
cyp,2012,30.62669
cyp,2013,24.36401
cyp,2014,24.08404
cyp,2015,23.62695
cyp,2016,23.37803
cyp,2017,28.85822
cyp,2018,29.77997
cyp,2019,32.07145
cyp,2020,31.58106
cyp,2021,34.34042
cyp,2022,34.45477
cyp,2023,
cze,1990,
cze,1991,
cze,1992,
cze,1993,
cze,1994,
cze,1995,
cze,1996,
cze,1997,
cze,1998,
cze,1999,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,313.85177
cze,2009,358.13008
cze,2010,297.05903
cze,2011,268.38987
cze,2012,277.36014
cze,2013,303.13085
cze,2014,379.18811
cze,2015,373.34765
cze,2016,472.12871
cze,2017,541.88762
cze,2018,500.79868
cze,2019,408.40067
cze,2020,395.71346
cze,2021,359.64815
cze,2022,362.56069
cze,2023,
dnk,1990,
dnk,1991,
dnk,1992,
dnk,1993,
dnk,1994,
dnk,1995,
dnk,1996,
dnk,1997,
dnk,1998,
