country,year,ae_ton_agri
aut,1990,
aut,1991,
aut,1992,
aut,1993,
aut,1994,
aut,1995,
aut,1996,
aut,1997,
aut,1998,
aut,1999,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,8235.315
aut,2009,8197.9392
aut,2010,8065.48191
aut,2011,8122.85604
aut,2012,8056.76106
aut,2013,8081.39762
aut,2014,8206.61304
aut,2015,8225.53812
aut,2016,8358.37368
aut,2017,8305.00271
aut,2018,8168.89023
aut,2019,8055.58674
aut,2020,8016.38096
aut,2021,8064.80694
aut,2022,8283.1723
aut,2023,
bel,1990,
bel,1991,
bel,1992,
bel,1993,
bel,1994,
bel,1995,
bel,1996,
bel,1997,
bel,1998,
bel,1999,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,11715.6613
bel,2009,11905.93916
bel,2010,12086.86989
bel,2011,11716.4442
bel,2012,11724.58995
bel,2013,11798.80498
bel,2014,11755.36602
bel,2015,12062.83808
bel,2016,11993.34928
bel,2017,12067.98378
bel,2018,12066.64111
bel,2019,12219.53677
bel,2020,12263.59559
bel,2021,12394.04773
bel,2022,12371.70922
bel,2023,
bgr,1990,
bgr,1991,
bgr,1992,
bgr,1993,
bgr,1994,
bgr,1995,
bgr,1996,
bgr,1997,
bgr,1998,
bgr,1999,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,4131.37029
bgr,2009,4168.57451
bgr,2010,4817.38264
bgr,2011,4605.97897
bgr,2012,4895.70264
bgr,2013,5224.35766
bgr,2014,5887.67624
bgr,2015,6149.25676
bgr,2016,6447.1688
bgr,2017,6499.97619
bgr,2018,6512.67346
bgr,2019,6548.47258
bgr,2020,6399.28152
bgr,2021,6607.52693
bgr,2022,6457.84493
bgr,2023,
can,1990,
can,1991,
can,1992,
can,1993,
can,1994,
can,1995,
can,1996,
can,1997,
can,1998,
can,1999,
can,2000,
can,2001,
can,2002,
can,2003,
can,2004,
can,2005,
can,2006,
can,2007,
can,2008,
can,2009,69375
can,2010,72055
can,2011,72996
can,2012,74634
can,2013,77170
can,2014,76127
can,2015,79296
can,2016,78648
can,2017,79813
can,2018,81652
can,2019,79624
can,2020,79409
can,2021,78757
can,2022,
can,2023,
hrv,1990,
hrv,1991,
hrv,1992,
hrv,1993,
hrv,1994,
hrv,1995,
hrv,1996,
hrv,1997,
hrv,1998,
hrv,1999,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,4437.69016
hrv,2009,3957.09263
hrv,2010,4007.93841
hrv,2011,4049.07418
hrv,2012,3878.0272
hrv,2013,3609.35546
hrv,2014,3539.65323
hrv,2015,3597.60257
hrv,2016,3567.35619
hrv,2017,3683.19911
hrv,2018,3587.00798
hrv,2019,3593.96352
hrv,2020,3605.78187
hrv,2021,3628.66249
hrv,2022,3615.87205
hrv,2023,
cyp,1990,
cyp,1991,
cyp,1992,
cyp,1993,
cyp,1994,
cyp,1995,
cyp,1996,
cyp,1997,
cyp,1998,
cyp,1999,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,598.57432
cyp,2009,583.90216
cyp,2010,595.2816
cyp,2011,593.61313
cyp,2012,567.37093
cyp,2013,529.19402
cyp,2014,507.75203
cyp,2015,528.35461
cyp,2016,546.07646
cyp,2017,564.85245
cyp,2018,565.17619
cyp,2019,585.38821
cyp,2020,624.77961
cyp,2021,646.96725
cyp,2022,647.82282
cyp,2023,
cze,1990,
cze,1991,
cze,1992,
cze,1993,
cze,1994,
cze,1995,
cze,1996,
cze,1997,
cze,1998,
cze,1999,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,9556.235
cze,2009,8706.89671
cze,2010,8632.7855
cze,2011,9140.40851
cze,2012,9039.20791
cze,2013,8958.62019
cze,2014,9054.28067
cze,2015,9625.18885
cze,2016,9903.3424
cze,2017,9664.20031
cze,2018,9499.37295
cze,2019,9450.23505
cze,2020,9245.42469
cze,2021,9334.15772
cze,2022,9405.00083
cze,2023,
dnk,1990,
dnk,1991,
