country,year,ae_ton_air
aut,1990,
aut,1991,
aut,1992,
aut,1993,
aut,1994,
aut,1995,
aut,1996,
aut,1997,
aut,1998,
aut,1999,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,3373.24672
aut,2009,3039.51638
aut,2010,3027.60585
aut,2011,2938.93979
aut,2012,2808.15238
aut,2013,2458.27353
aut,2014,2562.41494
aut,2015,2702.81348
aut,2016,2927.77152
aut,2017,3578.12711
aut,2018,3382.53483
aut,2019,5571.60903
aut,2020,2150.28161
aut,2021,3260.50544
aut,2022,3248.55028
aut,2023,
bel,1990,
bel,1991,
bel,1992,
bel,1993,
bel,1994,
bel,1995,
bel,1996,
bel,1997,
bel,1998,
bel,1999,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,2388.3311
bel,2009,2287.07901
bel,2010,2612.12229
bel,2011,2207.06733
bel,2012,2083.75314
bel,2013,2139.8144
bel,2014,2503.1404
bel,2015,2627.53279
bel,2016,2789.11052
bel,2017,2827.4585
bel,2018,2959.6865
bel,2019,3324.15326
bel,2020,1436.82532
bel,2021,2116.86305
bel,2022,2102.52001
bel,2023,
bgr,1990,
bgr,1991,
bgr,1992,
bgr,1993,
bgr,1994,
bgr,1995,
bgr,1996,
bgr,1997,
bgr,1998,
bgr,1999,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,488.6864
bgr,2009,357.99152
bgr,2010,390.0185
bgr,2011,399.35439
bgr,2012,383.97515
bgr,2013,369.82024
bgr,2014,391.35056
bgr,2015,395.1661
bgr,2016,397.71395
bgr,2017,386.42198
bgr,2018,369.68897
bgr,2019,385.47537
bgr,2020,108.3539
bgr,2021,189.48435
bgr,2022,227.44179
bgr,2023,
can,1990,
can,1991,
can,1992,
can,1993,
can,1994,
can,1995,
can,1996,
can,1997,
can,1998,
can,1999,
can,2000,
can,2001,
can,2002,
can,2003,
can,2004,
can,2005,
can,2006,
can,2007,
can,2008,
can,2009,14905
can,2010,16150
can,2011,16886
can,2012,17594
can,2013,17489
can,2014,18629
can,2015,18879
can,2016,19361
can,2017,21737
can,2018,22674
can,2019,23224
can,2020,9528
can,2021,9532
can,2022,
can,2023,
hrv,1990,
hrv,1991,
hrv,1992,
hrv,1993,
hrv,1994,
hrv,1995,
hrv,1996,
hrv,1997,
hrv,1998,
hrv,1999,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,134.3959
hrv,2009,135.18671
hrv,2010,126.48815
hrv,2011,80.89675
hrv,2012,79.60331
hrv,2013,74.33628
hrv,2014,89.92458
hrv,2015,115.82253
hrv,2016,120.43434
hrv,2017,143.91549
hrv,2018,138.27198
hrv,2019,140.9291
hrv,2020,62.72804
hrv,2021,105.935
hrv,2022,105.61637
hrv,2023,
cyp,1990,
cyp,1991,
cyp,1992,
cyp,1993,
cyp,1994,
cyp,1995,
cyp,1996,
cyp,1997,
cyp,1998,
cyp,1999,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,437.15352
cyp,2009,420.91377
cyp,2010,389.93257
cyp,2011,269.40017
cyp,2012,241.34949
cyp,2013,182.46488
cyp,2014,118.72329
cyp,2015,1.37785
cyp,2016,37.67624
cyp,2017,142.60951
cyp,2018,260.15362
cyp,2019,48.53509
cyp,2020,16.44644
cyp,2021,23.71936
cyp,2022,23.76998
cyp,2023,
cze,1990,
cze,1991,
cze,1992,
cze,1993,
cze,1994,
cze,1995,
cze,1996,
cze,1997,
cze,1998,
cze,1999,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,771.44652
cze,2009,717.59315
cze,2010,633.4028
cze,2011,619.37114
cze,2012,564.87365
cze,2013,536.16358
cze,2014,562.98431
cze,2015,578.62744
cze,2016,623.08869
cze,2017,782.52103
cze,2018,835.39075
cze,2019,1002.26502
cze,2020,311.82025
cze,2021,539.8704
cze,2022,1094.91341
cze,2023,
dnk,1990,
dnk,1991,
dnk,1992,
dnk,1993,
dnk,1994,
dnk,1995,
dnk,1996,
