country,year,ae_ton_arts
aut,1990,
aut,1991,
aut,1992,
aut,1993,
aut,1994,
aut,1995,
aut,1996,
aut,1997,
aut,1998,
aut,1999,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,73.08364
aut,2009,66.25334
aut,2010,71.04029
aut,2011,75.68708
aut,2012,70.75944
aut,2013,70.59912
aut,2014,69.24213
aut,2015,71.08146
aut,2016,72.33383
aut,2017,87.4726
aut,2018,108.62023
aut,2019,111.06804
aut,2020,115.3264
aut,2021,132.79481
aut,2022,117.14499
aut,2023,
bel,1990,
bel,1991,
bel,1992,
bel,1993,
bel,1994,
bel,1995,
bel,1996,
bel,1997,
bel,1998,
bel,1999,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,265.03018
bel,2009,266.47971
bel,2010,299.57915
bel,2011,280.47999
bel,2012,281.30655
bel,2013,293.20321
bel,2014,319.36827
bel,2015,335.87616
bel,2016,310.16114
bel,2017,354.3696
bel,2018,367.04612
bel,2019,366.49136
bel,2020,335.84544
bel,2021,363.39284
bel,2022,321.2457
bel,2023,
bgr,1990,
bgr,1991,
bgr,1992,
bgr,1993,
bgr,1994,
bgr,1995,
bgr,1996,
bgr,1997,
bgr,1998,
bgr,1999,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,25.52556
bgr,2009,25.40435
bgr,2010,23.94785
bgr,2011,22.61924
bgr,2012,22.33909
bgr,2013,18.84409
bgr,2014,20.6037
bgr,2015,10.73011
bgr,2016,10.87077
bgr,2017,10.947
bgr,2018,12.55099
bgr,2019,11.07693
bgr,2020,7.69581
bgr,2021,10.2062
bgr,2022,8.68239
bgr,2023,
can,1990,
can,1991,
can,1992,
can,1993,
can,1994,
can,1995,
can,1996,
can,1997,
can,1998,
can,1999,
can,2000,
can,2001,
can,2002,
can,2003,
can,2004,
can,2005,
can,2006,
can,2007,
can,2008,
can,2009,607
can,2010,476
can,2011,509
can,2012,498
can,2013,513
can,2014,473
can,2015,454
can,2016,436
can,2017,504
can,2018,490
can,2019,534
can,2020,373
can,2021,388
can,2022,
can,2023,
hrv,1990,
hrv,1991,
hrv,1992,
hrv,1993,
hrv,1994,
hrv,1995,
hrv,1996,
hrv,1997,
hrv,1998,
hrv,1999,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,35.59574
hrv,2009,37.94526
hrv,2010,41.42621
hrv,2011,41.75476
hrv,2012,41.12894
hrv,2013,43.84169
hrv,2014,44.72354
hrv,2015,50.13746
hrv,2016,54.80229
hrv,2017,61.73623
hrv,2018,64.78125
hrv,2019,68.67528
hrv,2020,68.97061
hrv,2021,74.89158
hrv,2022,77.74186
hrv,2023,
cyp,1990,
cyp,1991,
cyp,1992,
cyp,1993,
cyp,1994,
cyp,1995,
cyp,1996,
cyp,1997,
cyp,1998,
cyp,1999,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,9.02578
cyp,2009,10.05418
cyp,2010,10.36085
cyp,2011,8.27914
cyp,2012,7.32563
cyp,2013,6.83846
cyp,2014,5.63907
cyp,2015,7.37109
cyp,2016,7.97257
cyp,2017,9.16316
cyp,2018,10.56254
cyp,2019,10.18989
cyp,2020,8.39598
cyp,2021,10.31652
cyp,2022,10.3521
cyp,2023,
cze,1990,
cze,1991,
cze,1992,
cze,1993,
cze,1994,
cze,1995,
cze,1996,
cze,1997,
cze,1998,
cze,1999,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,76.58788
cze,2009,72.50981
cze,2010,72.45277
cze,2011,66.77695
cze,2012,66.79039
cze,2013,66.63014
cze,2014,62.5404
cze,2015,59.91681
cze,2016,68.12015
cze,2017,44.18797
cze,2018,64.99686
cze,2019,66.0009
cze,2020,65.40091
cze,2021,58.72398
cze,2022,56.0284
cze,2023,
dnk,1990,
dnk,1991,
dnk,1992,
dnk,1993,
dnk,1994,
dnk,1995,
dnk,1996,
dnk,1997,
dnk,1998,
dnk,1999,
dnk,2000,
dnk,2001,
dnk,2002,
