country,year,ae_ton_const
aut,1990,
aut,1991,
aut,1992,
aut,1993,
aut,1994,
aut,1995,
aut,1996,
aut,1997,
aut,1998,
aut,1999,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,1670.00421
aut,2009,1538.37009
aut,2010,1447.36238
aut,2011,1394.42232
aut,2012,1402.74963
aut,2013,1328.67289
aut,2014,1159.22304
aut,2015,1038.98004
aut,2016,964.64595
aut,2017,1090.90907
aut,2018,1108.42934
aut,2019,1095.05104
aut,2020,1077.16923
aut,2021,1013.92288
aut,2022,938.54034
aut,2023,
bel,1990,
bel,1991,
bel,1992,
bel,1993,
bel,1994,
bel,1995,
bel,1996,
bel,1997,
bel,1998,
bel,1999,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,2537.16856
bel,2009,2418.50029
bel,2010,2511.46934
bel,2011,2595.21459
bel,2012,2548.53996
bel,2013,2700.6827
bel,2014,2503.00688
bel,2015,2773.27832
bel,2016,2764.94942
bel,2017,2758.56061
bel,2018,2863.657
bel,2019,2843.54663
bel,2020,2657.15751
bel,2021,2594.63181
bel,2022,2441.09404
bel,2023,
bgr,1990,
bgr,1991,
bgr,1992,
bgr,1993,
bgr,1994,
bgr,1995,
bgr,1996,
bgr,1997,
bgr,1998,
bgr,1999,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,526.78282
bgr,2009,559.20477
bgr,2010,472.0113
bgr,2011,502.64576
bgr,2012,500.19916
bgr,2013,463.38206
bgr,2014,543.04263
bgr,2015,654.46647
bgr,2016,470.58729
bgr,2017,468.95035
bgr,2018,562.48127
bgr,2019,606.61799
bgr,2020,606.16771
bgr,2021,618.4699
bgr,2022,526.67513
bgr,2023,
can,1990,
can,1991,
can,1992,
can,1993,
can,1994,
can,1995,
can,1996,
can,1997,
can,1998,
can,1999,
can,2000,
can,2001,
can,2002,
can,2003,
can,2004,
can,2005,
can,2006,
can,2007,
can,2008,
can,2009,6685
can,2010,7540
can,2011,7407
can,2012,7699
can,2013,7271
can,2014,7178
can,2015,8304
can,2016,9266
can,2017,9896
can,2018,9816
can,2019,9854
can,2020,8208
can,2021,8519
can,2022,
can,2023,
hrv,1990,
hrv,1991,
hrv,1992,
hrv,1993,
hrv,1994,
hrv,1995,
hrv,1996,
hrv,1997,
hrv,1998,
hrv,1999,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,423.94235
hrv,2009,389.24474
hrv,2010,374.87227
hrv,2011,358.23036
hrv,2012,325.56431
hrv,2013,322.54401
hrv,2014,281.18505
hrv,2015,289.1808
hrv,2016,289.12141
hrv,2017,353.5662
hrv,2018,344.5763
hrv,2019,372.09633
hrv,2020,340.17293
hrv,2021,383.21672
hrv,2022,372.38721
hrv,2023,
cyp,1990,
cyp,1991,
cyp,1992,
cyp,1993,
cyp,1994,
cyp,1995,
cyp,1996,
cyp,1997,
cyp,1998,
cyp,1999,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,168.94456
cyp,2009,153.26998
cyp,2010,149.68103
cyp,2011,131.74351
cyp,2012,105.98479
cyp,2013,85.76608
cyp,2014,86.01943
cyp,2015,89.14493
cyp,2016,103.59376
cyp,2017,119.33453
cyp,2018,120.28715
cyp,2019,138.48045
cyp,2020,150.34014
cyp,2021,137.36914
cyp,2022,137.78902
cyp,2023,
cze,1990,
cze,1991,
cze,1992,
cze,1993,
cze,1994,
cze,1995,
cze,1996,
cze,1997,
cze,1998,
cze,1999,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,1987.01358
cze,2009,1833.91654
cze,2010,1707.7798
cze,2011,1640.43183
cze,2012,1527.03657
cze,2013,1298.89419
cze,2014,1236.58861
cze,2015,1219.36754
cze,2016,1334.49858
cze,2017,1350.74157
cze,2018,1321.20641
cze,2019,1357.77457
cze,2020,1334.43504
cze,2021,1529.50315
cze,2022,1456.48746
cze,2023,
dnk,1990,
dnk,1991,
dnk,1992,
dnk,1993,
dnk,1994,
dnk,1995,
