country,year,ae_ton_edu
aut,1990,
aut,1991,
aut,1992,
aut,1993,
aut,1994,
aut,1995,
aut,1996,
aut,1997,
aut,1998,
aut,1999,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,159.38744
aut,2009,130.70243
aut,2010,104.464
aut,2011,97.84708
aut,2012,66.14881
aut,2013,66.63694
aut,2014,64.09302
aut,2015,65.12261
aut,2016,66.36273
aut,2017,70.45751
aut,2018,76.43279
aut,2019,84.28092
aut,2020,85.39083
aut,2021,93.40822
aut,2022,84.87702
aut,2023,
bel,1990,
bel,1991,
bel,1992,
bel,1993,
bel,1994,
bel,1995,
bel,1996,
bel,1997,
bel,1998,
bel,1999,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,873.23239
bel,2009,697.65111
bel,2010,737.52713
bel,2011,602.11662
bel,2012,542.55439
bel,2013,522.07507
bel,2014,459.72364
bel,2015,524.86203
bel,2016,516.67323
bel,2017,499.31197
bel,2018,472.79086
bel,2019,407.72789
bel,2020,381.3208
bel,2021,435.05189
bel,2022,391.0349
bel,2023,
bgr,1990,
bgr,1991,
bgr,1992,
bgr,1993,
bgr,1994,
bgr,1995,
bgr,1996,
bgr,1997,
bgr,1998,
bgr,1999,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,198.41849
bgr,2009,198.69377
bgr,2010,186.42516
bgr,2011,173.40764
bgr,2012,168.91561
bgr,2013,142.31856
bgr,2014,154.73547
bgr,2015,48.69075
bgr,2016,43.76196
bgr,2017,43.66674
bgr,2018,43.28787
bgr,2019,45.12705
bgr,2020,34.3417
bgr,2021,44.0517
bgr,2022,42.9484
bgr,2023,
can,1990,
can,1991,
can,1992,
can,1993,
can,1994,
can,1995,
can,1996,
can,1997,
can,1998,
can,1999,
can,2000,
can,2001,
can,2002,
can,2003,
can,2004,
can,2005,
can,2006,
can,2007,
can,2008,
can,2009,5338
can,2010,4462
can,2011,4907
can,2012,4943
can,2013,5067
can,2014,5206
can,2015,5244
can,2016,5627
can,2017,5931
can,2018,6136
can,2019,6307
can,2020,5572
can,2021,5735
can,2022,
can,2023,
hrv,1990,
hrv,1991,
hrv,1992,
hrv,1993,
hrv,1994,
hrv,1995,
hrv,1996,
hrv,1997,
hrv,1998,
hrv,1999,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,82.63789
hrv,2009,84.71567
hrv,2010,90.19575
hrv,2011,86.46413
hrv,2012,79.8426
hrv,2013,81.78755
hrv,2014,79.36996
hrv,2015,91.44749
hrv,2016,96.89519
hrv,2017,105.99976
hrv,2018,107.57256
hrv,2019,110.59335
hrv,2020,105.66824
hrv,2021,116.1382
hrv,2022,116.999
hrv,2023,
cyp,1990,
cyp,1991,
cyp,1992,
cyp,1993,
cyp,1994,
cyp,1995,
cyp,1996,
cyp,1997,
cyp,1998,
cyp,1999,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,10.44019
cyp,2009,11.33832
cyp,2010,11.89101
cyp,2011,11.15208
cyp,2012,9.38827
cyp,2013,10.14067
cyp,2014,7.88354
cyp,2015,8.64376
cyp,2016,9.1457
cyp,2017,9.20175
cyp,2018,8.90681
cyp,2019,9.6507
cyp,2020,10.89666
cyp,2021,10.09447
cyp,2022,10.13832
cyp,2023,
cze,1990,
cze,1991,
cze,1992,
cze,1993,
cze,1994,
cze,1995,
cze,1996,
cze,1997,
cze,1998,
cze,1999,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,259.88227
cze,2009,336.90871
cze,2010,249.70773
cze,2011,233.94193
cze,2012,203.87505
cze,2013,171.8428
cze,2014,154.08551
cze,2015,154.12196
cze,2016,152.98833
cze,2017,39.94375
cze,2018,138.84867
cze,2019,115.45221
cze,2020,103.76066
cze,2021,118.39666
cze,2022,116.96078
cze,2023,
dnk,1990,
dnk,1991,
dnk,1992,
dnk,1993,
dnk,1994,
dnk,1995,
dnk,1996,
dnk,1997,
dnk,1998,
dnk,1999,
dnk,2000,
