country,year,ae_ton_food
aut,1990,
aut,1991,
aut,1992,
aut,1993,
aut,1994,
aut,1995,
aut,1996,
aut,1997,
aut,1998,
aut,1999,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,740.68239
aut,2009,646.62864
aut,2010,581.95522
aut,2011,518.42204
aut,2012,443.80389
aut,2013,426.98584
aut,2014,399.09812
aut,2015,391.41358
aut,2016,383.1597
aut,2017,434.07501
aut,2018,418.94434
aut,2019,393.59226
aut,2020,331.34994
aut,2021,352.67348
aut,2022,322.95874
aut,2023,
bel,1990,
bel,1991,
bel,1992,
bel,1993,
bel,1994,
bel,1995,
bel,1996,
bel,1997,
bel,1998,
bel,1999,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,555.19237
bel,2009,569.33103
bel,2010,714.08855
bel,2011,596.73569
bel,2012,718.54822
bel,2013,792.98634
bel,2014,594.14893
bel,2015,653.92072
bel,2016,673.56015
bel,2017,672.53658
bel,2018,737.13154
bel,2019,718.05405
bel,2020,638.5119
bel,2021,695.38577
bel,2022,609.19701
bel,2023,
bgr,1990,
bgr,1991,
bgr,1992,
bgr,1993,
bgr,1994,
bgr,1995,
bgr,1996,
bgr,1997,
bgr,1998,
bgr,1999,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,83.4407
bgr,2009,79.99644
bgr,2010,75.33
bgr,2011,73.18575
bgr,2012,75.46925
bgr,2013,69.63587
bgr,2014,71.96228
bgr,2015,63.05751
bgr,2016,64.73415
bgr,2017,65.74411
bgr,2018,79.92464
bgr,2019,90.65517
bgr,2020,61.28648
bgr,2021,79.61816
bgr,2022,79.45445
bgr,2023,
can,1990,
can,1991,
can,1992,
can,1993,
can,1994,
can,1995,
can,1996,
can,1997,
can,1998,
can,1999,
can,2000,
can,2001,
can,2002,
can,2003,
can,2004,
can,2005,
can,2006,
can,2007,
can,2008,
can,2009,1576
can,2010,1540
can,2011,1730
can,2012,1610
can,2013,1662
can,2014,1753
can,2015,1721
can,2016,1684
can,2017,1869
can,2018,1921
can,2019,2065
can,2020,1575
can,2021,1687
can,2022,
can,2023,
hrv,1990,
hrv,1991,
hrv,1992,
hrv,1993,
hrv,1994,
hrv,1995,
hrv,1996,
hrv,1997,
hrv,1998,
hrv,1999,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,52.33735
hrv,2009,53.24753
hrv,2010,57.06719
hrv,2011,53.6628
hrv,2012,49.70534
hrv,2013,49.5418
hrv,2014,47.22966
hrv,2015,54.3443
hrv,2016,56.51689
hrv,2017,61.80219
hrv,2018,61.89724
hrv,2019,63.09499
hrv,2020,59.99557
hrv,2021,66.5447
hrv,2022,67.25258
hrv,2023,
cyp,1990,
cyp,1991,
cyp,1992,
cyp,1993,
cyp,1994,
cyp,1995,
cyp,1996,
cyp,1997,
cyp,1998,
cyp,1999,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,70.2298
cyp,2009,68.10264
cyp,2010,73.4905
cyp,2011,72.5106
cyp,2012,61.81303
cyp,2013,64.63302
cyp,2014,59.02335
cyp,2015,64.22543
cyp,2016,65.6567
cyp,2017,72.2254
cyp,2018,73.17964
cyp,2019,88.6009
cyp,2020,67.05267
cyp,2021,71.28827
cyp,2022,71.80519
cyp,2023,
cze,1990,
cze,1991,
cze,1992,
cze,1993,
cze,1994,
cze,1995,
cze,1996,
cze,1997,
cze,1998,
cze,1999,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,107.68475
cze,2009,199.78995
cze,2010,165.20687
cze,2011,175.1854
cze,2012,156.59216
cze,2013,151.71055
cze,2014,145.43182
cze,2015,154.1549
cze,2016,160.34374
cze,2017,44.01595
cze,2018,78.39773
cze,2019,94.19197
cze,2020,44.33008
cze,2021,67.37244
cze,2022,65.51857
cze,2023,
dnk,1990,
dnk,1991,
dnk,1992,
dnk,1993,
dnk,1994,
dnk,1995,
dnk,1996,
dnk,1997,
dnk,1998,
dnk,1999,
dnk,2000,
