country,year,ae_ton_house
aut,1990,
aut,1991,
aut,1992,
aut,1993,
aut,1994,
aut,1995,
aut,1996,
aut,1997,
aut,1998,
aut,1999,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,0
aut,2009,0
aut,2010,0
aut,2011,0
aut,2012,0
aut,2013,0
aut,2014,0
aut,2015,0
aut,2016,0
aut,2017,0
aut,2018,0
aut,2019,0
aut,2020,0
aut,2021,0
aut,2022,0
aut,2023,
bel,1990,
bel,1991,
bel,1992,
bel,1993,
bel,1994,
bel,1995,
bel,1996,
bel,1997,
bel,1998,
bel,1999,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,41.87463
bel,2009,43.76997
bel,2010,45.51446
bel,2011,35.51512
bel,2012,38.39043
bel,2013,42.42767
bel,2014,69.299
bel,2015,80.97718
bel,2016,128.08633
bel,2017,160.78062
bel,2018,169.00307
bel,2019,164.88305
bel,2020,132.65336
bel,2021,148.89888
bel,2022,157.76477
bel,2023,
bgr,1990,
bgr,1991,
bgr,1992,
bgr,1993,
bgr,1994,
bgr,1995,
bgr,1996,
bgr,1997,
bgr,1998,
bgr,1999,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,0
bgr,2009,0
bgr,2010,0
bgr,2011,0
bgr,2012,0
bgr,2013,0
bgr,2014,0
bgr,2015,0
bgr,2016,0
bgr,2017,0
bgr,2018,0
bgr,2019,0
bgr,2020,0
bgr,2021,0
bgr,2022,0
bgr,2023,
hrv,1990,
hrv,1991,
hrv,1992,
hrv,1993,
hrv,1994,
hrv,1995,
hrv,1996,
hrv,1997,
hrv,1998,
hrv,1999,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,33.65687
hrv,2009,32.57119
hrv,2010,32.15144
hrv,2011,31.83032
hrv,2012,29.77974
hrv,2013,28.68407
hrv,2014,28.84122
hrv,2015,29.95946
hrv,2016,30.10439
hrv,2017,30.55433
hrv,2018,31.42939
hrv,2019,31.83775
hrv,2020,31.38531
hrv,2021,32.93966
hrv,2022,31.68295
hrv,2023,
cyp,1990,
cyp,1991,
cyp,1992,
cyp,1993,
cyp,1994,
cyp,1995,
cyp,1996,
cyp,1997,
cyp,1998,
cyp,1999,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,3.98269
cyp,2009,4.39524
cyp,2010,3.73759
cyp,2011,4.25031
cyp,2012,4.13143
cyp,2013,3.39834
cyp,2014,3.07334
cyp,2015,3.60818
cyp,2016,3.63787
cyp,2017,3.5875
cyp,2018,2.94044
cyp,2019,3.38365
cyp,2020,3.3336
cyp,2021,3.02274
cyp,2022,3.03966
cyp,2023,
cze,1990,
cze,1991,
cze,1992,
cze,1993,
cze,1994,
cze,1995,
cze,1996,
cze,1997,
cze,1998,
cze,1999,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,0
cze,2009,0
cze,2010,0
cze,2011,0
cze,2012,0
cze,2013,0
cze,2014,0
cze,2015,0
cze,2016,0
cze,2017,0
cze,2018,0
cze,2019,0
cze,2020,0
cze,2021,0
cze,2022,0
cze,2023,
dnk,1990,
dnk,1991,
dnk,1992,
dnk,1993,
dnk,1994,
dnk,1995,
dnk,1996,
dnk,1997,
dnk,1998,
dnk,1999,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,0.00103
dnk,2009,0.00105
dnk,2010,0.00117
dnk,2011,0.00155
dnk,2012,0.00194
dnk,2013,0.00232
dnk,2014,0.00138
dnk,2015,0.00095
dnk,2016,0.00147
dnk,2017,0.00109
dnk,2018,0.00166
dnk,2019,0.00085
dnk,2020,9e-04
dnk,2021,0.00116
dnk,2022,0.00119
dnk,2023,
est,1990,
est,1991,
est,1992,
est,1993,
est,1994,
est,1995,
est,1996,
est,1997,
est,1998,
est,1999,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,0.03842
