country,year,ae_ton_house_emp
can,1990,
can,1991,
can,1992,
can,1993,
can,1994,
can,1995,
can,1996,
can,1997,
can,1998,
can,1999,
can,2000,
can,2001,
can,2002,
can,2003,
can,2004,
can,2005,
can,2006,
can,2007,
can,2008,
can,2009,129000
can,2010,128722
can,2011,132520
can,2012,128252
can,2013,135150
can,2014,133205
can,2015,132343
can,2016,131078
can,2017,134331
can,2018,137433
can,2019,136491
can,2020,114160
can,2021,114219
can,2022,
can,2023,
nzl,1990,
nzl,1991,
nzl,1992,
nzl,1993,
nzl,1994,
nzl,1995,
nzl,1996,
nzl,1997,
nzl,1998,
nzl,1999,
nzl,2000,
nzl,2001,
nzl,2002,
nzl,2003,
nzl,2004,
nzl,2005,
nzl,2006,
nzl,2007,
nzl,2008,7865.6895322
nzl,2009,7913.5432498
nzl,2010,7906.1827746
nzl,2011,7912.0602417
nzl,2012,7867.0269713
nzl,2013,7820.9227723
nzl,2014,7993.9519058
nzl,2015,8397.5593267
nzl,2016,8579.3230493
nzl,2017,8912.4095189
nzl,2018,8850.6652452
nzl,2019,8851.1965219
nzl,2020,8271.8469107
nzl,2021,8631.7721541
nzl,2022,
nzl,2023,
gbr,1990,
gbr,1991,
gbr,1992,
gbr,1993,
gbr,1994,
gbr,1995,
gbr,1996,
gbr,1997,
gbr,1998,
gbr,1999,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,153317.6
gbr,2009,149093
gbr,2010,157503.9
gbr,2011,139181.4
gbr,2012,146065.1
gbr,2013,148147.4
gbr,2014,136001.6
gbr,2015,139976.4
gbr,2016,142422
gbr,2017,141389.9
gbr,2018,144174.1
gbr,2019,140918
gbr,2020,125152.7
gbr,2021,134761.9
gbr,2022,129689.3
gbr,2023,
