country,year,ae_ton_info
aut,1990,
aut,1991,
aut,1992,
aut,1993,
aut,1994,
aut,1995,
aut,1996,
aut,1997,
aut,1998,
aut,1999,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,117.921
aut,2009,100.96785
aut,2010,107.12866
aut,2011,93.1528
aut,2012,83.23999
aut,2013,80.40876
aut,2014,71.31311
aut,2015,66.6585
aut,2016,53.91483
aut,2017,54.77776
aut,2018,64.53716
aut,2019,59.29679
aut,2020,61.92844
aut,2021,70.87329
aut,2022,63.07487
aut,2023,
bel,1990,
bel,1991,
bel,1992,
bel,1993,
bel,1994,
bel,1995,
bel,1996,
bel,1997,
bel,1998,
bel,1999,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,242.45004
bel,2009,261.52931
bel,2010,277.85495
bel,2011,262.84124
bel,2012,270.18464
bel,2013,309.98377
bel,2014,293.3487
bel,2015,276.55518
bel,2016,276.8634
bel,2017,292.9358
bel,2018,286.36618
bel,2019,301.68905
bel,2020,257.85989
bel,2021,274.0876
bel,2022,242.34229
bel,2023,
bgr,1990,
bgr,1991,
bgr,1992,
bgr,1993,
bgr,1994,
bgr,1995,
bgr,1996,
bgr,1997,
bgr,1998,
bgr,1999,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,35.83958
bgr,2009,35.83311
bgr,2010,34.42135
bgr,2011,33.45874
bgr,2012,33.71678
bgr,2013,28.77747
bgr,2014,32.75796
bgr,2015,31.19783
bgr,2016,31.83053
bgr,2017,33.45167
bgr,2018,30.74226
bgr,2019,28.04772
bgr,2020,22.92149
bgr,2021,27.4003
bgr,2022,24.88856
bgr,2023,
can,1990,
can,1991,
can,1992,
can,1993,
can,1994,
can,1995,
can,1996,
can,1997,
can,1998,
can,1999,
can,2000,
can,2001,
can,2002,
can,2003,
can,2004,
can,2005,
can,2006,
can,2007,
can,2008,
can,2009,1531
can,2010,1358
can,2011,1223
can,2012,1229
can,2013,1126
can,2014,1122
can,2015,1214
can,2016,2004
can,2017,2239
can,2018,2083
can,2019,2131
can,2020,1632
can,2021,1697
can,2022,
can,2023,
hrv,1990,
hrv,1991,
hrv,1992,
hrv,1993,
hrv,1994,
hrv,1995,
hrv,1996,
hrv,1997,
hrv,1998,
hrv,1999,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,90.20142
hrv,2009,91.57702
hrv,2010,95.02263
hrv,2011,91.62208
hrv,2012,85.98569
hrv,2013,85.64492
hrv,2014,82.71097
hrv,2015,93.7496
hrv,2016,99.0488
hrv,2017,109.10142
hrv,2018,110.04683
hrv,2019,113.4485
hrv,2020,108.30917
hrv,2021,120.22204
hrv,2022,121.20601
hrv,2023,
cyp,1990,
cyp,1991,
cyp,1992,
cyp,1993,
cyp,1994,
cyp,1995,
cyp,1996,
cyp,1997,
cyp,1998,
cyp,1999,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,10.1473
cyp,2009,10.69939
cyp,2010,11.22945
cyp,2011,10.78004
cyp,2012,11.65551
cyp,2013,10.4342
cyp,2014,9.92164
cyp,2015,10.48428
cyp,2016,10.40848
cyp,2017,11.51874
cyp,2018,11.07305
cyp,2019,11.31011
cyp,2020,11.17202
cyp,2021,12.12811
cyp,2022,12.17883
cyp,2023,
cze,1990,
cze,1991,
cze,1992,
cze,1993,
cze,1994,
cze,1995,
cze,1996,
cze,1997,
cze,1998,
cze,1999,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,108.05106
cze,2009,110.91034
cze,2010,112.10548
cze,2011,105.56727
cze,2012,100.94034
cze,2013,88.45573
cze,2014,88.19849
cze,2015,395.23683
cze,2016,95.87709
cze,2017,98.1425
cze,2018,100.31284
cze,2019,102.14446
cze,2020,71.74757
cze,2021,78.97374
cze,2022,75.95707
cze,2023,
dnk,1990,
dnk,1991,
dnk,1992,
dnk,1993,
dnk,1994,
dnk,1995,
dnk,1996,
dnk,1997,
dnk,1998,
dnk,1999,
dnk,2000,
