country,year,ae_ton_land
aut,1990,
aut,1991,
aut,1992,
aut,1993,
aut,1994,
aut,1995,
aut,1996,
aut,1997,
aut,1998,
aut,1999,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,4605.71273
aut,2009,4332.50939
aut,2010,4298.0786
aut,2011,3806.60139
aut,2012,3444.31339
aut,2013,3631.65542
aut,2014,3469.30361
aut,2015,3073.55495
aut,2016,2754.82166
aut,2017,3127.95525
aut,2018,3226.60613
aut,2019,3223.26117
aut,2020,3297.67616
aut,2021,3607.05531
aut,2022,3407.00005
aut,2023,
bel,1990,
bel,1991,
bel,1992,
bel,1993,
bel,1994,
bel,1995,
bel,1996,
bel,1997,
bel,1998,
bel,1999,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,2315.08757
bel,2009,2122.01617
bel,2010,2129.7168
bel,2011,2056.51457
bel,2012,1916.76777
bel,2013,1895.94291
bel,2014,1831.71519
bel,2015,1793.46577
bel,2016,1776.17839
bel,2017,1830.10717
bel,2018,2101.42387
bel,2019,2224.50106
bel,2020,2026.65356
bel,2021,1765.23103
bel,2022,1812.06295
bel,2023,
bgr,1990,
bgr,1991,
bgr,1992,
bgr,1993,
bgr,1994,
bgr,1995,
bgr,1996,
bgr,1997,
bgr,1998,
bgr,1999,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,5801.42277
bgr,2009,5388.37868
bgr,2010,5243.15308
bgr,2011,5434.09628
bgr,2012,5692.41606
bgr,2013,5019.39045
bgr,2014,5651.84427
bgr,2015,6203.82289
bgr,2016,6694.97147
bgr,2017,6811.76079
bgr,2018,6470.30961
bgr,2019,6619.78894
bgr,2020,6182.7524
bgr,2021,6814.41048
bgr,2022,6905.63109
bgr,2023,
can,1990,
can,1991,
can,1992,
can,1993,
can,1994,
can,1995,
can,1996,
can,1997,
can,1998,
can,1999,
can,2000,
can,2001,
can,2002,
can,2003,
can,2004,
can,2005,
can,2006,
can,2007,
can,2008,
can,2009,36510
can,2010,37959
can,2011,38432
can,2012,41224
can,2013,41132
can,2014,42171
can,2015,40331
can,2016,37419
can,2017,37795
can,2018,40284
can,2019,39594
can,2020,35691
can,2021,37862
can,2022,
can,2023,
hrv,1990,
hrv,1991,
hrv,1992,
hrv,1993,
hrv,1994,
hrv,1995,
hrv,1996,
hrv,1997,
hrv,1998,
hrv,1999,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,792.90925
hrv,2009,804.04628
hrv,2010,860.19831
hrv,2011,815.21492
hrv,2012,687.63864
hrv,2013,927.27644
hrv,2014,857.04019
hrv,2015,867.76439
hrv,2016,879.67813
hrv,2017,1084.51283
hrv,2018,1019.54014
hrv,2019,1103.82355
hrv,2020,932.95404
hrv,2021,917.02101
hrv,2022,874.16669
hrv,2023,
cyp,1990,
cyp,1991,
cyp,1992,
cyp,1993,
cyp,1994,
cyp,1995,
cyp,1996,
cyp,1997,
cyp,1998,
cyp,1999,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,194.26325
cyp,2009,216.89421
cyp,2010,212.55205
cyp,2011,200.79518
cyp,2012,158.76039
cyp,2013,127.67607
cyp,2014,125.21952
cyp,2015,137.85774
cyp,2016,147.83403
cyp,2017,161.82637
cyp,2018,163.35752
cyp,2019,175.11185
cyp,2020,162.68102
cyp,2021,160.15488
cyp,2022,160.57683
cyp,2023,
cze,1990,
cze,1991,
cze,1992,
cze,1993,
cze,1994,
cze,1995,
cze,1996,
cze,1997,
cze,1998,
cze,1999,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,7441.74968
cze,2009,6611.56201
cze,2010,6576.13378
cze,2011,6458.39155
cze,2012,6286.43221
cze,2013,6053.12961
cze,2014,6344.3449
cze,2015,6686.97132
cze,2016,7400.4387
cze,2017,7818.58824
cze,2018,7541.94636
cze,2019,7763.74555
cze,2020,7004.10034
cze,2021,7957.71464
cze,2022,8578.4007
cze,2023,
dnk,1990,
dnk,1991,
dnk,1992,
