country,year,ae_ton_other
aut,1990,
aut,1991,
aut,1992,
aut,1993,
aut,1994,
aut,1995,
aut,1996,
aut,1997,
aut,1998,
aut,1999,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,201.96277
aut,2009,155.59323
aut,2010,127.09409
aut,2011,102.94752
aut,2012,83.35531
aut,2013,66.4415
aut,2014,78.33681
aut,2015,80.61675
aut,2016,82.4841
aut,2017,104.80686
aut,2018,107.56975
aut,2019,193.56251
aut,2020,195.53869
aut,2021,229.9575
aut,2022,207.66684
aut,2023,
bel,1990,
bel,1991,
bel,1992,
bel,1993,
bel,1994,
bel,1995,
bel,1996,
bel,1997,
bel,1998,
bel,1999,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,306.66475
bel,2009,328.36001
bel,2010,345.6603
bel,2011,296.66041
bel,2012,300.84216
bel,2013,344.09169
bel,2014,408.57101
bel,2015,461.44466
bel,2016,511.48518
bel,2017,595.72636
bel,2018,617.64661
bel,2019,621.24326
bel,2020,470.64681
bel,2021,520.11714
bel,2022,470.88183
bel,2023,
bgr,1990,
bgr,1991,
bgr,1992,
bgr,1993,
bgr,1994,
bgr,1995,
bgr,1996,
bgr,1997,
bgr,1998,
bgr,1999,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,32.50294
bgr,2009,31.49087
bgr,2010,29.33848
bgr,2011,27.65256
bgr,2012,27.67033
bgr,2013,23.64489
bgr,2014,24.04615
bgr,2015,14.83064
bgr,2016,17.01551
bgr,2017,19.91433
bgr,2018,19.97442
bgr,2019,22.57183
bgr,2020,18.06088
bgr,2021,22.13844
bgr,2022,20.6086
bgr,2023,
can,1990,
can,1991,
can,1992,
can,1993,
can,1994,
can,1995,
can,1996,
can,1997,
can,1998,
can,1999,
can,2000,
can,2001,
can,2002,
can,2003,
can,2004,
can,2005,
can,2006,
can,2007,
can,2008,
can,2009,8908
can,2010,8538
can,2011,8616
can,2012,8498
can,2013,8204
can,2014,8030
can,2015,8063
can,2016,8394
can,2017,7940
can,2018,7766
can,2019,8169
can,2020,7775
can,2021,8027
can,2022,
can,2023,
hrv,1990,
hrv,1991,
hrv,1992,
hrv,1993,
hrv,1994,
hrv,1995,
hrv,1996,
hrv,1997,
hrv,1998,
hrv,1999,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,89.2833
hrv,2009,90.25174
hrv,2010,93.48862
hrv,2011,89.97476
hrv,2012,83.55288
hrv,2013,83.99331
hrv,2014,79.61699
hrv,2015,89.43242
hrv,2016,93.91706
hrv,2017,106.09024
hrv,2018,106.39076
hrv,2019,110.50721
hrv,2020,105.04899
hrv,2021,116.88497
hrv,2022,116.066
hrv,2023,
cyp,1990,
cyp,1991,
cyp,1992,
cyp,1993,
cyp,1994,
cyp,1995,
cyp,1996,
cyp,1997,
cyp,1998,
cyp,1999,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,17.85557
cyp,2009,17.01901
cyp,2010,19.8522
cyp,2011,15.0529
cyp,2012,17.79115
cyp,2013,17.66918
cyp,2014,15.79018
cyp,2015,17.47285
cyp,2016,18.65956
cyp,2017,19.1645
cyp,2018,18.55185
cyp,2019,21.9533
cyp,2020,14.71457
cyp,2021,15.61555
cyp,2022,15.67206
cyp,2023,
cze,1990,
cze,1991,
cze,1992,
cze,1993,
cze,1994,
cze,1995,
cze,1996,
cze,1997,
cze,1998,
cze,1999,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,54.2681
cze,2009,58.60201
cze,2010,60.63994
cze,2011,57.49433
cze,2012,53.32403
cze,2013,48.84611
cze,2014,51.16848
cze,2015,47.93766
cze,2016,48.68573
cze,2017,35.17869
cze,2018,46.52696
cze,2019,42.10164
cze,2020,30.12262
cze,2021,29.18011
cze,2022,28.52948
cze,2023,
dnk,1990,
dnk,1991,
dnk,1992,
dnk,1993,
dnk,1994,
dnk,1995,
dnk,1996,
dnk,1997,
dnk,1998,
dnk,1999,
dnk,2000,
