country,year,ae_ton_prof
aut,1990,
aut,1991,
aut,1992,
aut,1993,
aut,1994,
aut,1995,
aut,1996,
aut,1997,
aut,1998,
aut,1999,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,308.86474
aut,2009,265.05929
aut,2010,283.12528
aut,2011,236.33771
aut,2012,224.74219
aut,2013,206.81876
aut,2014,175.12664
aut,2015,178.13521
aut,2016,188.63913
aut,2017,177.4916
aut,2018,210.62323
aut,2019,203.22016
aut,2020,217.16773
aut,2021,251.80067
aut,2022,226.56162
aut,2023,
bel,1990,
bel,1991,
bel,1992,
bel,1993,
bel,1994,
bel,1995,
bel,1996,
bel,1997,
bel,1998,
bel,1999,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,780.42258
bel,2009,883.40311
bel,2010,1009.83544
bel,2011,899.37322
bel,2012,937.83935
bel,2013,1058.07847
bel,2014,883.78856
bel,2015,990.43179
bel,2016,1068.40596
bel,2017,1109.56089
bel,2018,1110.95669
bel,2019,1216.62778
bel,2020,1101.31923
bel,2021,1184.46941
bel,2022,1051.55198
bel,2023,
bgr,1990,
bgr,1991,
bgr,1992,
bgr,1993,
bgr,1994,
bgr,1995,
bgr,1996,
bgr,1997,
bgr,1998,
bgr,1999,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,61.61407
bgr,2009,61.9302
bgr,2010,59.23174
bgr,2011,56.60872
bgr,2012,56.39978
bgr,2013,47.93205
bgr,2014,53.89864
bgr,2015,31.70565
bgr,2016,41.60793
bgr,2017,31.29583
bgr,2018,34.56159
bgr,2019,37.69825
bgr,2020,32.44822
bgr,2021,34.11774
bgr,2022,32.16123
bgr,2023,
can,1990,
can,1991,
can,1992,
can,1993,
can,1994,
can,1995,
can,1996,
can,1997,
can,1998,
can,1999,
can,2000,
can,2001,
can,2002,
can,2003,
can,2004,
can,2005,
can,2006,
can,2007,
can,2008,
can,2009,46
can,2010,28
can,2011,22
can,2012,20
can,2013,19
can,2014,12
can,2015,15
can,2016,17
can,2017,15
can,2018,15
can,2019,14
can,2020,13
can,2021,13
can,2022,
can,2023,
hrv,1990,
hrv,1991,
hrv,1992,
hrv,1993,
hrv,1994,
hrv,1995,
hrv,1996,
hrv,1997,
hrv,1998,
hrv,1999,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,159.71592
hrv,2009,161.7391
hrv,2010,167.75678
hrv,2011,161.30549
hrv,2012,150.72006
hrv,2013,149.14227
hrv,2014,143.0995
hrv,2015,162.6745
hrv,2016,171.53565
hrv,2017,189.27029
hrv,2018,190.68519
hrv,2019,196.32625
hrv,2020,187.35964
hrv,2021,208.80854
hrv,2022,209.68703
hrv,2023,
cyp,1990,
cyp,1991,
cyp,1992,
cyp,1993,
cyp,1994,
cyp,1995,
cyp,1996,
cyp,1997,
cyp,1998,
cyp,1999,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,18.11868
cyp,2009,22.67002
cyp,2010,23.9386
cyp,2011,22.26531
cyp,2012,18.84095
cyp,2013,17.2072
cyp,2014,17.61899
cyp,2015,20.31541
cyp,2016,22.87802
cyp,2017,26.13537
cyp,2018,24.74732
cyp,2019,26.67361
cyp,2020,27.98109
cyp,2021,30.2466
cyp,2022,30.36306
cyp,2023,
cze,1990,
cze,1991,
cze,1992,
cze,1993,
cze,1994,
cze,1995,
cze,1996,
cze,1997,
cze,1998,
cze,1999,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,142.66351
cze,2009,205.65313
cze,2010,222.95721
cze,2011,189.8756
cze,2012,200.83451
cze,2013,173.39976
cze,2014,161.14603
cze,2015,179.33815
cze,2016,191.41533
cze,2017,178.55078
cze,2018,229.18637
cze,2019,199.74332
cze,2020,131.41901
cze,2021,149.96327
cze,2022,146.1348
cze,2023,
dnk,1990,
dnk,1991,
dnk,1992,
dnk,1993,
dnk,1994,
dnk,1995,
dnk,1996,
dnk,1997,
dnk,1998,
dnk,1999,
dnk,2000,
dnk,2001,
