country,year,ae_ton_real
aut,1990,
aut,1991,
aut,1992,
aut,1993,
aut,1994,
aut,1995,
aut,1996,
aut,1997,
aut,1998,
aut,1999,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,69.67353
aut,2009,64.59791
aut,2010,65.83501
aut,2011,41.20332
aut,2012,28.17532
aut,2013,25.59598
aut,2014,22.54843
aut,2015,25.22749
aut,2016,29.2858
aut,2017,59.76771
aut,2018,54.88549
aut,2019,51.95518
aut,2020,55.53334
aut,2021,63.96152
aut,2022,57.46931
aut,2023,
bel,1990,
bel,1991,
bel,1992,
bel,1993,
bel,1994,
bel,1995,
bel,1996,
bel,1997,
bel,1998,
bel,1999,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,60.08867
bel,2009,69.42606
bel,2010,71.10273
bel,2011,72.9681
bel,2012,72.60245
bel,2013,81.6246
bel,2014,81.71472
bel,2015,80.52603
bel,2016,85.27281
bel,2017,91.56695
bel,2018,96.6027
bel,2019,100.41246
bel,2020,77.38575
bel,2021,76.71156
bel,2022,69.04199
bel,2023,
bgr,1990,
bgr,1991,
bgr,1992,
bgr,1993,
bgr,1994,
bgr,1995,
bgr,1996,
bgr,1997,
bgr,1998,
bgr,1999,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,46.23912
bgr,2009,44.14915
bgr,2010,41.24129
bgr,2011,39.69226
bgr,2012,40.50268
bgr,2013,35.10409
bgr,2014,35.57466
bgr,2015,33.4097
bgr,2016,34.34892
bgr,2017,34.97859
bgr,2018,35.7322
bgr,2019,36.71125
bgr,2020,30.16413
bgr,2021,36.54402
bgr,2022,35.59356
bgr,2023,
can,1990,
can,1991,
can,1992,
can,1993,
can,1994,
can,1995,
can,1996,
can,1997,
can,1998,
can,1999,
can,2000,
can,2001,
can,2002,
can,2003,
can,2004,
can,2005,
can,2006,
can,2007,
can,2008,
can,2009,10676
can,2010,9484
can,2011,9688
can,2012,9212
can,2013,9136
can,2014,9170
can,2015,8544
can,2016,8575
can,2017,8768
can,2018,9376
can,2019,9079
can,2020,8390
can,2021,8509
can,2022,
can,2023,
hrv,1990,
hrv,1991,
hrv,1992,
hrv,1993,
hrv,1994,
hrv,1995,
hrv,1996,
hrv,1997,
hrv,1998,
hrv,1999,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,141.84819
hrv,2009,142.49028
hrv,2010,150.52573
hrv,2011,140.40005
hrv,2012,125.693
hrv,2013,120.20783
hrv,2014,112.30403
hrv,2015,134.74388
hrv,2016,140.48086
hrv,2017,149.19244
hrv,2018,149.448
hrv,2019,148.96493
hrv,2020,139.96265
hrv,2021,158.68769
hrv,2022,156.89436
hrv,2023,
cyp,1990,
cyp,1991,
cyp,1992,
cyp,1993,
cyp,1994,
cyp,1995,
cyp,1996,
cyp,1997,
cyp,1998,
cyp,1999,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,4.61615
cyp,2009,7.55915
cyp,2010,4.93115
cyp,2011,2.73748
cyp,2012,2.18105
cyp,2013,1.89273
cyp,2014,1.93094
cyp,2015,2.71421
cyp,2016,3.08502
cyp,2017,3.57574
cyp,2018,3.79109
cyp,2019,4.68408
cyp,2020,5.66138
cyp,2021,5.4398
cyp,2022,5.4577
cyp,2023,
cze,1990,
cze,1991,
cze,1992,
cze,1993,
cze,1994,
cze,1995,
cze,1996,
cze,1997,
cze,1998,
cze,1999,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,410.73087
cze,2009,373.52833
cze,2010,381.72772
cze,2011,312.83653
cze,2012,272.30254
cze,2013,225.67394
cze,2014,217.8458
cze,2015,189.1614
cze,2016,164.97157
cze,2017,72.84756
cze,2018,156.39487
cze,2019,162.20938
cze,2020,151.3717
cze,2021,165.92327
cze,2022,163.84377
cze,2023,
dnk,1990,
dnk,1991,
dnk,1992,
dnk,1993,
dnk,1994,
dnk,1995,
dnk,1996,
dnk,1997,
dnk,1998,
dnk,1999,
dnk,2000,
