country,year,ae_ton_transp
aut,1990,
aut,1991,
aut,1992,
aut,1993,
aut,1994,
aut,1995,
aut,1996,
aut,1997,
aut,1998,
aut,1999,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,8393.70941
aut,2009,7717.51172
aut,2010,7645.54898
aut,2011,7077.54553
aut,2012,6591.27887
aut,2013,6399.43315
aut,2014,6340.04597
aut,2015,6097.86793
aut,2016,6041.78499
aut,2017,7084.64638
aut,2018,6988.71069
aut,2019,9212.56049
aut,2020,5825.08983
aut,2021,7386.97868
aut,2022,7123.68299
aut,2023,
bel,1990,
bel,1991,
bel,1992,
bel,1993,
bel,1994,
bel,1995,
bel,1996,
bel,1997,
bel,1998,
bel,1999,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,8543.20784
bel,2009,8493.49949
bel,2010,8647.22692
bel,2011,8139.41328
bel,2012,7477.20087
bel,2013,6034.36359
bel,2014,6180.14268
bel,2015,7130.17152
bel,2016,7685.51264
bel,2017,7250.75073
bel,2018,7792.27298
bel,2019,7889.91242
bel,2020,6531.27303
bel,2021,6289.57073
bel,2022,6284.46487
bel,2023,
bgr,1990,
bgr,1991,
bgr,1992,
bgr,1993,
bgr,1994,
bgr,1995,
bgr,1996,
bgr,1997,
bgr,1998,
bgr,1999,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,6549.20376
bgr,2009,6082.97015
bgr,2010,5869.49114
bgr,2011,6049.78457
bgr,2012,6287.09352
bgr,2013,5605.00021
bgr,2014,6259.53389
bgr,2015,6821.53388
bgr,2016,7324.33165
bgr,2017,7457.25974
bgr,2018,7100.17475
bgr,2019,7253.2494
bgr,2020,6552.8174
bgr,2021,7352.24349
bgr,2022,7438.22554
bgr,2023,
can,1990,
can,1991,
can,1992,
can,1993,
can,1994,
can,1995,
can,1996,
can,1997,
can,1998,
can,1999,
can,2000,
can,2001,
can,2002,
can,2003,
can,2004,
can,2005,
can,2006,
can,2007,
can,2008,
can,2009,59634
can,2010,62625
can,2011,63435
can,2012,67095
can,2013,66082
can,2014,67494
can,2015,66273
can,2016,62936
can,2017,65357
can,2018,68453
can,2019,68584
can,2020,50274
can,2021,52877
can,2022,
can,2023,
hrv,1990,
hrv,1991,
hrv,1992,
hrv,1993,
hrv,1994,
hrv,1995,
hrv,1996,
hrv,1997,
hrv,1998,
hrv,1999,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,1502.65917
hrv,2009,1501.58676
hrv,2010,1566.28611
hrv,2011,1471.89063
hrv,2012,1259.60854
hrv,2013,1485.26746
hrv,2014,1421.12917
hrv,2015,1475.42988
hrv,2016,1502.66655
hrv,2017,1746.37509
hrv,2018,1556.74372
hrv,2019,1628.8544
hrv,2020,1317.92076
hrv,2021,1383.05214
hrv,2022,1329.95119
hrv,2023,
cyp,1990,
cyp,1991,
cyp,1992,
cyp,1993,
cyp,1994,
cyp,1995,
cyp,1996,
cyp,1997,
cyp,1998,
cyp,1999,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,949.25862
cyp,2009,972.63452
cyp,2010,939.93489
cyp,2011,716.07172
cyp,2012,548.19857
cyp,2013,426.84955
cyp,2014,330.17259
cyp,2015,210.66726
cyp,2016,262.93789
cyp,2017,392.63908
cyp,2018,509.77077
cyp,2019,330.66419
cyp,2020,281.82795
cyp,2021,285.01834
cyp,2022,285.76658
cyp,2023,
cze,1990,
cze,1991,
cze,1992,
cze,1993,
cze,1994,
cze,1995,
cze,1996,
cze,1997,
cze,1998,
cze,1999,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,9152.96699
cze,2009,8339.24234
cze,2010,7938.31636
cze,2011,7702.89925
cze,2012,7463.3199
cze,2013,7344.69002
cze,2014,7626.34718
cze,2015,7987.98337
cze,2016,8748.89084
cze,2017,9156.9537
cze,2018,8976.76477
cze,2019,9311.94278
cze,2020,7887.8026
cze,2021,9114.67552
cze,2022,10272.90406
cze,2023,
dnk,1990,
dnk,1991,
