country,year,ae_ton_wat_trans
aut,1990,
aut,1991,
aut,1992,
aut,1993,
aut,1994,
aut,1995,
aut,1996,
aut,1997,
aut,1998,
aut,1999,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,142.26328
aut,2009,91.27746
aut,2010,95.9971
aut,2011,93.47243
aut,2012,87.6669
aut,2013,83.14194
aut,2014,92.99422
aut,2015,94.36711
aut,2016,99.16673
aut,2017,104.62862
aut,2018,112.12218
aut,2019,136.25131
aut,2020,75.92315
aut,2021,154.1196
aut,2022,149.16724
aut,2023,
bel,1990,
bel,1991,
bel,1992,
bel,1993,
bel,1994,
bel,1995,
bel,1996,
bel,1997,
bel,1998,
bel,1999,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,3446.31881
bel,2009,3627.4377
bel,2010,3474.26391
bel,2011,3508.58982
bel,2012,3136.84546
bel,2013,1650.34385
bel,2014,1611.30536
bel,2015,2484.08558
bel,2016,2892.22527
bel,2017,2360.68057
bel,2018,2486.75416
bel,2019,2099.26635
bel,2020,2841.76331
bel,2021,2186.8246
bel,2022,2176.32
bel,2023,
bgr,1990,
bgr,1991,
bgr,1992,
bgr,1993,
bgr,1994,
bgr,1995,
bgr,1996,
bgr,1997,
bgr,1998,
bgr,1999,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,160.0196
bgr,2009,241.10939
bgr,2010,143.39581
bgr,2011,120.6583
bgr,2012,109.03745
bgr,2013,128.23875
bgr,2014,117.3146
bgr,2015,112.2161
bgr,2016,129.1109
bgr,2017,140.68179
bgr,2018,127.53716
bgr,2019,134.7604
bgr,2020,122.95949
bgr,2021,224.13022
bgr,2022,190.42524
bgr,2023,
can,1990,
can,1991,
can,1992,
can,1993,
can,1994,
can,1995,
can,1996,
can,1997,
can,1998,
can,1999,
can,2000,
can,2001,
can,2002,
can,2003,
can,2004,
can,2005,
can,2006,
can,2007,
can,2008,
can,2009,5994
can,2010,6245
can,2011,5631
can,2012,5849
can,2013,5151
can,2014,4710
can,2015,4677
can,2016,3671
can,2017,3495
can,2018,3338
can,2019,3466
can,2020,2612
can,2021,2929
can,2022,
can,2023,
hrv,1990,
hrv,1991,
hrv,1992,
hrv,1993,
hrv,1994,
hrv,1995,
hrv,1996,
hrv,1997,
hrv,1998,
hrv,1999,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,526.74334
hrv,2009,512.95409
hrv,2010,528.1624
hrv,2011,526.56061
hrv,2012,447.99514
hrv,2013,434.8244
hrv,2014,428.2551
hrv,2015,441.51656
hrv,2016,450.37052
hrv,2017,457.6142
hrv,2018,339.6867
hrv,2019,322.03554
hrv,2020,265.79059
hrv,2021,299.46613
hrv,2022,289.10534
hrv,2023,
cyp,1990,
cyp,1991,
cyp,1992,
cyp,1993,
cyp,1994,
cyp,1995,
cyp,1996,
cyp,1997,
cyp,1998,
cyp,1999,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,277.00828
cyp,2009,296.27161
cyp,2010,308.04613
cyp,2011,216.03297
cyp,2012,120.56499
cyp,2013,93.19408
cyp,2014,65.47857
cyp,2015,48.10442
cyp,2016,54.65245
cyp,2017,60.5311
cyp,2018,57.42818
cyp,2019,73.44122
cyp,2020,68.09197
cyp,2021,67.08529
cyp,2022,67.25373
cyp,2023,
cze,1990,
cze,1991,
cze,1992,
cze,1993,
cze,1994,
cze,1995,
cze,1996,
cze,1997,
cze,1998,
cze,1999,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,50.32608
cze,2009,42.92688
cze,2010,36.1823
cze,2011,36.34067
cze,2012,40.94268
cze,2013,19.18746
cze,2014,19.13259
cze,2015,28.82986
cze,2016,32.59176
cze,2017,29.80841
cze,2018,26.8297
cze,2019,46.31194
cze,2020,43.71794
cze,2021,43.06501
cze,2022,43.63513
cze,2023,
dnk,1990,
dnk,1991,
dnk,1992,
dnk,1993,
dnk,1994,
dnk,1995,
dnk,1996,
dnk,1997,
dnk,1998,
