country,year,emp_fte_water
alb,1990,
alb,1991,
alb,1992,
alb,1993,
alb,1994,
alb,1995,
alb,1996,
alb,1997,
alb,1998,
alb,1999,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
alb,2022,
alb,2023,
aut,1990,
aut,1991,
aut,1992,
aut,1993,
aut,1994,
aut,1995,
aut,1996,
aut,1997,
aut,1998,
aut,1999,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,420
aut,2009,428
aut,2010,407
aut,2011,404
aut,2012,341
aut,2013,365
aut,2014,374
aut,2015,370
aut,2016,415
aut,2017,422
aut,2018,442
aut,2019,464
aut,2020,374
aut,2021,
aut,2022,
aut,2023,
bel,1990,
bel,1991,
bel,1992,
bel,1993,
bel,1994,
bel,1995,
bel,1996,
bel,1997,
bel,1998,
bel,1999,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,862
bel,2009,
bel,2010,
bel,2011,
bel,2012,1571
bel,2013,1760
bel,2014,1184
bel,2015,1516
bel,2016,1285
bel,2017,1143
bel,2018,1349
bel,2019,1064
bel,2020,1396
bel,2021,
bel,2022,
bel,2023,
bih,1990,
bih,1991,
bih,1992,
bih,1993,
bih,1994,
bih,1995,
bih,1996,
bih,1997,
bih,1998,
bih,1999,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,
bih,2009,
bih,2010,
bih,2011,
bih,2012,
bih,2013,3
bih,2014,6
bih,2015,
bih,2016,9
bih,2017,
bih,2018,
bih,2019,
bih,2020,
bih,2021,
bih,2022,
bih,2023,
bgr,1990,
bgr,1991,
bgr,1992,
bgr,1993,
bgr,1994,
bgr,1995,
bgr,1996,
bgr,1997,
bgr,1998,
bgr,1999,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,5393
bgr,2009,3922
bgr,2010,3348
bgr,2011,3105
bgr,2012,2718
bgr,2013,2172
bgr,2014,1498
bgr,2015,1399
bgr,2016,1555
bgr,2017,1327
bgr,2018,1369
bgr,2019,1303
bgr,2020,1266
bgr,2021,
bgr,2022,
bgr,2023,
hrv,1990,
hrv,1991,
hrv,1992,
hrv,1993,
hrv,1994,
hrv,1995,
hrv,1996,
hrv,1997,
hrv,1998,
hrv,1999,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,3570
hrv,2009,3669
hrv,2010,2999
hrv,2011,3605
hrv,2012,3564
hrv,2013,3495
hrv,2014,3472
hrv,2015,3418
hrv,2016,3724
hrv,2017,3941
hrv,2018,3840
hrv,2019,4072
hrv,2020,3685
hrv,2021,
hrv,2022,
hrv,2023,
cyp,1990,
cyp,1991,
cyp,1992,
cyp,1993,
cyp,1994,
cyp,1995,
cyp,1996,
cyp,1997,
cyp,1998,
cyp,1999,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,
cyp,2009,
cyp,2010,
cyp,2011,2337
cyp,2012,1793
cyp,2013,1267
cyp,2014,788
cyp,2015,282
cyp,2016,
cyp,2017,275
cyp,2018,296
cyp,2019,314
cyp,2020,196
cyp,2021,
cyp,2022,
cyp,2023,
cze,1990,
cze,1991,
cze,1992,
cze,1993,
cze,1994,
cze,1995,
cze,1996,
cze,1997,
cze,1998,
cze,1999,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,629
cze,2009,614
cze,2010,579
cze,2011,598
cze,2012,512
cze,2013,528
cze,2014,519
cze,2015,505
cze,2016,483
cze,2017,513
cze,2018,523
cze,2019,518
cze,2020,485
cze,2021,
cze,2022,
cze,2023,
dnk,1990,
dnk,1991,
dnk,1992,
dnk,1993,
dnk,1994,
dnk,1995,
dnk,1996,
dnk,1997,
dnk,1998,
dnk,1999,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,13648
dnk,2009,14734
dnk,2010,13021
dnk,2011,13998
dnk,2012,15204
dnk,2013,15228
dnk,2014,15328
dnk,2015,16084
dnk,2016,16158
dnk,2017,15544
dnk,2018,14296
dnk,2019,13705
dnk,2020,10710
dnk,2021,
dnk,2022,
dnk,2023,
est,1990,
est,1991,
est,1992,
est,1993,
est,1994,
est,1995,
est,1996,
est,1997,
est,1998,
est,1999,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,1210
est,2009,1052
est,2010,
est,2011,
est,2012,816
est,2013,796
est,2014,741
est,2015,
est,2016,876
est,2017,
est,2018,
est,2019,
est,2020,
est,2021,
est,2022,
est,2023,
fin,1990,
fin,1991,
fin,1992,
fin,1993,
fin,1994,
fin,1995,
fin,1996,
fin,1997,
fin,1998,
fin,1999,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,
fin,2009,7812
fin,2010,7674
fin,2011,7779
fin,2012,7601
fin,2013,7970
fin,2014,
fin,2015,
fin,2016,7375
fin,2017,7315
fin,2018,7350
fin,2019,
fin,2020,5774
fin,2021,
fin,2022,
fin,2023,
fra,1990,
fra,1991,
fra,1992,
fra,1993,
fra,1994,
fra,1995,
fra,1996,
fra,1997,
fra,1998,
fra,1999,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,14433
fra,2009,
fra,2010,15787
fra,2011,15540
fra,2012,15753
fra,2013,
fra,2014,
fra,2015,
fra,2016,13592
fra,2017,15502
fra,2018,16674
fra,2019,17138
fra,2020,15884
fra,2021,
fra,2022,
fra,2023,
deu,1990,
deu,1991,
deu,1992,
deu,1993,
deu,1994,
deu,1995,
deu,1996,
deu,1997,
deu,1998,
deu,1999,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,34640
deu,2009,32183
deu,2010,31425
deu,2011,32566
deu,2012,22707
deu,2013,24817
deu,2014,22746
deu,2015,21726
deu,2016,25652
deu,2017,23297
deu,2018,26554
deu,2019,25741
deu,2020,24153
deu,2021,
deu,2022,
deu,2023,
grc,1990,
grc,1991,
grc,1992,
grc,1993,
grc,1994,
grc,1995,
grc,1996,
grc,1997,
grc,1998,
grc,1999,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,18304
grc,2009,13971
grc,2010,12963
grc,2011,12922
grc,2012,12029
grc,2013,10769
grc,2014,16129
grc,2015,15598
grc,2016,14926
grc,2017,15272
grc,2018,18158
grc,2019,18853
grc,2020,16682
grc,2021,
grc,2022,
grc,2023,
hun,1990,
hun,1991,
hun,1992,
hun,1993,
hun,1994,
hun,1995,
hun,1996,
hun,1997,
hun,1998,
hun,1999,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,941
hun,2009,867
hun,2010,863
hun,2011,814
hun,2012,823
hun,2013,815
hun,2014,695
hun,2015,690
hun,2016,720
hun,2017,754
hun,2018,776
hun,2019,734
hun,2020,598
hun,2021,
hun,2022,
hun,2023,
isl,1990,
isl,1991,
isl,1992,
isl,1993,
isl,1994,
isl,1995,
isl,1996,
isl,1997,
isl,1998,
isl,1999,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,
isl,2009,
isl,2010,
isl,2011,
isl,2012,
isl,2013,
isl,2014,
isl,2015,1138
isl,2016,1162
isl,2017,1486
isl,2018,1511
isl,2019,1503
isl,2020,1145
isl,2021,
isl,2022,
isl,2023,
irl,1990,
irl,1991,
irl,1992,
irl,1993,
irl,1994,
irl,1995,
irl,1996,
irl,1997,
irl,1998,
irl,1999,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,325
irl,2009,299
irl,2010,293
irl,2011,265
irl,2012,
irl,2013,239
irl,2014,234
irl,2015,249
irl,2016,
irl,2017,
irl,2018,
irl,2019,
irl,2020,
irl,2021,
irl,2022,
irl,2023,
ita,1990,
ita,1991,
ita,1992,
ita,1993,
ita,1994,
ita,1995,
ita,1996,
ita,1997,
ita,1998,
ita,1999,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,25072
ita,2009,29397
ita,2010,25801
ita,2011,26494
ita,2012,25539
ita,2013,26551
ita,2014,40015
ita,2015,41646
ita,2016,46720
ita,2017,48539
ita,2018,48725
ita,2019,52292
ita,2020,36333
ita,2021,
ita,2022,
ita,2023,
lva,1990,
lva,1991,
lva,1992,
lva,1993,
lva,1994,
lva,1995,
lva,1996,
lva,1997,
lva,1998,
lva,1999,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,560
lva,2009,969
lva,2010,887
lva,2011,778
lva,2012,743
lva,2013,798
lva,2014,907
lva,2015,720
lva,2016,693
lva,2017,997
lva,2018,1078
lva,2019,989
lva,2020,749
lva,2021,
lva,2022,
lva,2023,
ltu,1990,
ltu,1991,
ltu,1992,
ltu,1993,
ltu,1994,
ltu,1995,
ltu,1996,
ltu,1997,
ltu,1998,
ltu,1999,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,1769
ltu,2009,1721
ltu,2010,1669
ltu,2011,1642
ltu,2012,1564
ltu,2013,1482
ltu,2014,1409
ltu,2015,1356
ltu,2016,1203
ltu,2017,1113
ltu,2018,1123
ltu,2019,1114
ltu,2020,1151
ltu,2021,
ltu,2022,
ltu,2023,
lux,1990,
lux,1991,
lux,1992,
lux,1993,
lux,1994,
lux,1995,
lux,1996,
lux,1997,
lux,1998,
lux,1999,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
mlt,1990,
mlt,1991,
mlt,1992,
mlt,1993,
mlt,1994,
mlt,1995,
mlt,1996,
mlt,1997,
mlt,1998,
mlt,1999,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,
mlt,2010,
mlt,2011,
mlt,2012,
mlt,2013,
mlt,2014,462
mlt,2015,459
mlt,2016,454
mlt,2017,466
mlt,2018,526
mlt,2019,549
mlt,2020,447
mlt,2021,
mlt,2022,
mlt,2023,
nld,1990,
nld,1991,
nld,1992,
nld,1993,
nld,1994,
nld,1995,
nld,1996,
nld,1997,
nld,1998,
nld,1999,
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,
nld,2009,13397
nld,2010,13758
nld,2011,14168
nld,2012,13732
nld,2013,14370
nld,2014,14163
nld,2015,14412
nld,2016,14432
nld,2017,14249
nld,2018,13959
nld,2019,14267
nld,2020,14291
nld,2021,
nld,2022,
nld,2023,
mkd,1990,
mkd,1991,
mkd,1992,
mkd,1993,
mkd,1994,
mkd,1995,
mkd,1996,
mkd,1997,
mkd,1998,
mkd,1999,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,
mkd,2009,
mkd,2010,
mkd,2011,
mkd,2012,
mkd,2013,
mkd,2014,27
mkd,2015,29
mkd,2016,31
mkd,2017,
mkd,2018,
mkd,2019,
mkd,2020,
mkd,2021,
mkd,2022,
mkd,2023,
nor,1990,
nor,1991,
nor,1992,
nor,1993,
nor,1994,
nor,1995,
nor,1996,
nor,1997,
nor,1998,
nor,1999,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,23531
nor,2009,20230
nor,2010,21842
nor,2011,29429
nor,2012,27311
nor,2013,28474
nor,2014,52277
nor,2015,15151
nor,2016,22275
nor,2017,22567
nor,2018,17914
nor,2019,19438
nor,2020,16533
nor,2021,
nor,2022,
nor,2023,
pol,1990,
pol,1991,
pol,1992,
pol,1993,
pol,1994,
pol,1995,
pol,1996,
pol,1997,
pol,1998,
pol,1999,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,
pol,2009,
pol,2010,
pol,2011,
pol,2012,2630
pol,2013,2441
pol,2014,2686
pol,2015,2500
pol,2016,2174
pol,2017,2278
pol,2018,2321
pol,2019,2382
pol,2020,2184
pol,2021,
pol,2022,
pol,2023,
prt,1990,
prt,1991,
prt,1992,
prt,1993,
prt,1994,
prt,1995,
prt,1996,
prt,1997,
prt,1998,
prt,1999,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,1145
prt,2009,1150
prt,2010,1174
prt,2011,1157
prt,2012,1020
prt,2013,1029
prt,2014,1552
prt,2015,1510
prt,2016,1492
prt,2017,1683
prt,2018,1863
prt,2019,2016
prt,2020,1523
prt,2021,
prt,2022,
prt,2023,
rou,1990,
rou,1991,
rou,1992,
rou,1993,
rou,1994,
rou,1995,
rou,1996,
rou,1997,
rou,1998,
rou,1999,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,3039
rou,2009,3121
rou,2010,3200
rou,2011,2820
rou,2012,2567
rou,2013,2521
rou,2014,
rou,2015,
rou,2016,
rou,2017,
rou,2018,
rou,2019,
rou,2020,2254
rou,2021,
rou,2022,
rou,2023,
srb,1990,
srb,1991,
srb,1992,
srb,1993,
srb,1994,
srb,1995,
srb,1996,
srb,1997,
srb,1998,
srb,1999,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,
srb,2009,
srb,2010,
srb,2011,
srb,2012,
srb,2013,
srb,2014,
srb,2015,
srb,2016,
srb,2017,
srb,2018,
srb,2019,
srb,2020,
srb,2021,
srb,2022,
srb,2023,
svk,1990,
svk,1991,
svk,1992,
svk,1993,
svk,1994,
svk,1995,
svk,1996,
svk,1997,
svk,1998,
svk,1999,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,595
svk,2009,
svk,2010,470
svk,2011,
svk,2012,413
svk,2013,455
svk,2014,383
svk,2015,470
svk,2016,349
svk,2017,342
svk,2018,339
svk,2019,323
svk,2020,327
svk,2021,
svk,2022,
svk,2023,
svn,1990,
svn,1991,
svn,1992,
svn,1993,
svn,1994,
svn,1995,
svn,1996,
svn,1997,
svn,1998,
svn,1999,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,
svn,2009,
svn,2010,
svn,2011,
svn,2012,
svn,2013,
svn,2014,
svn,2015,
svn,2016,
svn,2017,
svn,2018,
svn,2019,
svn,2020,
svn,2021,
svn,2022,
svn,2023,
esp,1990,
esp,1991,
esp,1992,
esp,1993,
esp,1994,
esp,1995,
esp,1996,
esp,1997,
esp,1998,
esp,1999,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,8483
esp,2009,7609
esp,2010,7211
esp,2011,7031
esp,2012,6629
esp,2013,6480
esp,2014,6338
esp,2015,6708
esp,2016,6895
esp,2017,7385
esp,2018,8041
esp,2019,7535
esp,2020,6586
esp,2021,
esp,2022,
esp,2023,
swe,1990,
swe,1991,
swe,1992,
swe,1993,
swe,1994,
swe,1995,
swe,1996,
swe,1997,
swe,1998,
swe,1999,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,13688
swe,2009,13713
swe,2010,13104
swe,2011,12535
swe,2012,12040
swe,2013,10974
swe,2014,10345
swe,2015,10473
swe,2016,10236
swe,2017,10104
swe,2018,10460
swe,2019,10407
swe,2020,8719
swe,2021,
swe,2022,
swe,2023,
che,1990,
che,1991,
che,1992,
che,1993,
che,1994,
che,1995,
che,1996,
che,1997,
che,1998,
che,1999,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,
che,2009,2245
che,2010,2318
che,2011,2374
che,2012,2484
che,2013,3158
che,2014,3383
che,2015,3766
che,2016,3702
che,2017,3873
che,2018,4003
che,2019,4392
che,2020,4352
che,2021,
che,2022,
che,2023,
tur,1990,
tur,1991,
tur,1992,
tur,1993,
tur,1994,
tur,1995,
tur,1996,
tur,1997,
tur,1998,
tur,1999,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,20114
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
