country,year,env_tax_total
ckk,1990,
ckk,1991,
ckk,1992,
ckk,1993,
ckk,1994,
ckk,1995,
ckk,1996,
ckk,1997,
ckk,1998,
ckk,1999,
ckk,2000,
ckk,2001,
ckk,2002,
ckk,2003,
ckk,2004,
ckk,2005,
ckk,2006,
ckk,2007,
ckk,2008,
ckk,2009,
ckk,2010,7.18
ckk,2011,7.77
ckk,2012,6.8
ckk,2013,9.55
ckk,2014,10.13
ckk,2015,7.75
ckk,2016,8.83
ckk,2017,8.2
ckk,2018,7.71
ckk,2019,6.79
ckk,2020,1.6
ckk,2021,
ckk,2022,
ckk,2023,
alb,1990,
alb,1991,
alb,1992,
alb,1993,
alb,1994,
alb,1995,
alb,1996,
alb,1997,
alb,1998,
alb,1999,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,1.9
alb,2006,1.75
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
alb,2022,
alb,2023,
atg,1990,
atg,1991,
atg,1992,
atg,1993,
atg,1994,1.21
atg,1995,1.09
atg,1996,1.36
atg,1997,1.11
atg,1998,1.09
atg,1999,0.99
atg,2000,1.57
atg,2001,1.35
atg,2002,1.24
atg,2003,1.02
atg,2004,5.15
atg,2005,4.64
atg,2006,3.77
atg,2007,2.94
atg,2008,3.13
atg,2009,2.63
atg,2010,2.97
atg,2011,1.22
atg,2012,1.26
atg,2013,3.48
atg,2014,1.18
atg,2015,1.81
atg,2016,1.19
atg,2017,1.61
atg,2018,1.66
atg,2019,1.6
atg,2020,1.09
atg,2021,
atg,2022,
atg,2023,
arg,1990,
arg,1991,
arg,1992,
arg,1993,
arg,1994,9.65
arg,1995,8.93
arg,1996,10.83
arg,1997,14.99
arg,1998,13.9
arg,1999,13.92
arg,2000,13.12
arg,2001,13.91
arg,2002,15.83
arg,2003,12.51
arg,2004,10.22
arg,2005,9.52
arg,2006,8.47
arg,2007,7.35
arg,2008,7.07
arg,2009,7.48
arg,2010,7.2
arg,2011,6.55
arg,2012,7.27
arg,2013,6.88
arg,2014,7.14
arg,2015,6.98
arg,2016,6.98
arg,2017,7.61
arg,2018,6.59
arg,2019,6.33
arg,2020,5.84
arg,2021,
arg,2022,
arg,2023,
bhs,1990,
bhs,1991,
bhs,1992,
bhs,1993,
bhs,1994,12.06
bhs,1995,10.19
bhs,1996,9.33
bhs,1997,8.98
bhs,1998,8.85
bhs,1999,8.73
bhs,2000,8.08
bhs,2001,7.94
bhs,2002,8.97
bhs,2003,8.32
bhs,2004,9.04
bhs,2005,8.23
bhs,2006,7.77
bhs,2007,7.16
bhs,2008,6.87
bhs,2009,7.19
bhs,2010,7.13
bhs,2011,8.77
bhs,2012,8.86
bhs,2013,11.93
bhs,2014,10.35
bhs,2015,10
bhs,2016,8.52
bhs,2017,7.87
bhs,2018,8.57
bhs,2019,7.4
bhs,2020,7.46
bhs,2021,
bhs,2022,
bhs,2023,
bgd,1990,
bgd,1991,
bgd,1992,
bgd,1993,
bgd,1994,
bgd,1995,
bgd,1996,
bgd,1997,
bgd,1998,
bgd,1999,
bgd,2000,0.71
bgd,2001,0.66
bgd,2002,0.88
bgd,2003,1.02
bgd,2004,0.76
bgd,2005,0.69
bgd,2006,0.78
bgd,2007,0.83
bgd,2008,0.7
bgd,2009,0.55
bgd,2010,0.45
bgd,2011,0.44
bgd,2012,0.46
bgd,2013,0.44
bgd,2014,0.53
bgd,2015,0.55
bgd,2016,0.52
bgd,2017,0.85
bgd,2018,0.45
bgd,2019,0.38
bgd,2020,0.11
bgd,2021,
bgd,2022,
bgd,2023,
brb,1990,
brb,1991,
brb,1992,
brb,1993,
brb,1994,0
brb,1995,0
brb,1996,0
brb,1997,0
brb,1998,0
brb,1999,0
brb,2000,0
brb,2001,0
brb,2002,0
brb,2003,0
brb,2004,0
brb,2005,0
brb,2006,0
brb,2007,0
brb,2008,0
brb,2009,0
brb,2010,0
brb,2011,0
brb,2012,0
brb,2013,0
brb,2014,1.18
brb,2015,0
brb,2016,0
brb,2017,0
brb,2018,2
brb,2019,2.39
brb,2020,2.14
brb,2021,
brb,2022,
brb,2023,
blz,1990,
blz,1991,
blz,1992,
blz,1993,
blz,1994,0.91
blz,1995,0.87
blz,1996,0.82
blz,1997,0.84
blz,1998,0.86
blz,1999,0.98
blz,2000,0.94
blz,2001,0.89
blz,2002,0.83
blz,2003,0.81
blz,2004,0.93
blz,2005,0.95
blz,2006,0.93
blz,2007,0.86
blz,2008,0.72
blz,2009,0.89
blz,2010,0.63
blz,2011,0.79
blz,2012,0.7
blz,2013,0.62
blz,2014,0.57
blz,2015,0.55
blz,2016,0.1
blz,2017,0.52
blz,2018,0.58
blz,2019,0.5
blz,2020,1
blz,2021,
blz,2022,
blz,2023,
btn,1990,
btn,1991,
btn,1992,
btn,1993,
btn,1994,
btn,1995,
btn,1996,
btn,1997,
btn,1998,
btn,1999,
btn,2000,
btn,2001,
btn,2002,
btn,2003,
btn,2004,
btn,2005,
btn,2006,
btn,2007,
btn,2008,
btn,2009,
btn,2010,
btn,2011,
btn,2012,
btn,2013,
btn,2014,
btn,2015,8.63
btn,2016,9.05
btn,2017,10.14
btn,2018,12.65
btn,2019,12.62
btn,2020,7.9
btn,2021,
btn,2022,
btn,2023,
bol,1990,
bol,1991,
bol,1992,
bol,1993,
bol,1994,0.62
bol,1995,0.52
bol,1996,1.31
bol,1997,1.45
bol,1998,3.88
bol,1999,4.15
bol,2000,15.33
bol,2001,14.74
bol,2002,13.87
bol,2003,10.94
bol,2004,9.03
bol,2005,12.43
bol,2006,11.48
bol,2007,11.64
bol,2008,9.99
bol,2009,8.59
bol,2010,7.1
bol,2011,5.95
bol,2012,5.15
bol,2013,5.03
bol,2014,4.74
bol,2015,4.61
bol,2016,5.27
bol,2017,4.94
bol,2018,4.76
bol,2019,3.78
bol,2020,4.43
bol,2021,
bol,2022,
bol,2023,
bwa,1990,
bwa,1991,
bwa,1992,
bwa,1993,
bwa,1994,
bwa,1995,
bwa,1996,
bwa,1997,
bwa,1998,
bwa,1999,
bwa,2000,
bwa,2001,
bwa,2002,
bwa,2003,
bwa,2004,4.78
bwa,2005,2.86
bwa,2006,2.89
bwa,2007,2.91
bwa,2008,2.4
bwa,2009,2.49
