country,year,ggas_cap_air
aut,1990,
aut,1991,
aut,1992,
aut,1993,
aut,1994,
aut,1995,
aut,1996,
aut,1997,
aut,1998,
aut,1999,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,405.36542
aut,2009,364.30525
aut,2010,362.00641
aut,2011,350.22221
aut,2012,333.11452
aut,2013,289.8968
aut,2014,299.82544
aut,2015,312.72794
aut,2016,335.11306
aut,2017,406.71785
aut,2018,382.61714
aut,2019,627.4391
aut,2020,241.14774
aut,2021,364.06647
aut,2022,359.27934
aut,2023,
bel,1990,
bel,1991,
bel,1992,
bel,1993,
bel,1994,
bel,1995,
bel,1996,
bel,1997,
bel,1998,
bel,1999,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,223.00067
bel,2009,211.83536
bel,2010,239.74133
bel,2011,199.94696
bel,2012,187.60835
bel,2013,191.74983
bel,2014,223.31409
bel,2015,233.05722
bel,2016,246.1395
bel,2017,248.56433
bel,2018,259.00696
bel,2019,289.33406
bel,2020,124.52332
bel,2021,182.70563
bel,2022,179.92072
bel,2023,
bgr,1990,
bgr,1991,
bgr,1992,
bgr,1993,
bgr,1994,
bgr,1995,
bgr,1996,
bgr,1997,
bgr,1998,
bgr,1999,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,65.22288
bgr,2009,48.08842
bgr,2010,52.73657
bgr,2011,54.34629
bgr,2012,52.55694
bgr,2013,50.90356
bgr,2014,54.17413
bgr,2015,55.05247
bgr,2016,55.7974
bgr,2017,54.61064
bgr,2018,52.62449
bgr,2019,55.25926
bgr,2020,15.62643
bgr,2021,27.55037
bgr,2022,35.17995
bgr,2023,
hrv,1990,
hrv,1991,
hrv,1992,
hrv,1993,
hrv,1994,
hrv,1995,
hrv,1996,
hrv,1997,
hrv,1998,
hrv,1999,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,31.17596
hrv,2009,31.39262
hrv,2010,29.44083
hrv,2011,18.88822
hrv,2012,18.64656
hrv,2013,17.47249
hrv,2014,21.22834
hrv,2015,27.52441
hrv,2016,28.86424
hrv,2017,34.8476
hrv,2018,33.80014
hrv,2019,34.6501
hrv,2020,15.49889
hrv,2021,26.82354
hrv,2022,27.38588
hrv,2023,
cyp,1990,
cyp,1991,
cyp,1992,
cyp,1993,
cyp,1994,
cyp,1995,
cyp,1996,
cyp,1997,
cyp,1998,
cyp,1999,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,555.72812
cyp,2009,520.91032
cyp,2010,470.11206
cyp,2011,316.61322
cyp,2012,279.35747
cyp,2013,211.69117
cyp,2014,139.2642
cyp,2015,1.62547
cyp,2016,44.24374
cyp,2017,165.91781
cyp,2018,299.00378
cyp,2019,55.03144
cyp,2020,18.43758
cyp,2021,26.34442
cyp,2022,26.0435
cyp,2023,
cze,1990,
cze,1991,
cze,1992,
cze,1993,
cze,1994,
cze,1995,
cze,1996,
cze,1997,
cze,1998,
cze,1999,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,74.28753
cze,2009,68.70907
cze,2010,60.47145
cze,2011,59.00971
cze,2012,53.74229
cze,2013,50.99389
cze,2014,53.48843
cze,2015,54.8667
cze,2016,58.96925
cze,2017,73.8615
cze,2018,78.58856
cze,2019,93.91653
cze,2020,29.14791
cze,2021,51.38798
cze,2022,102.5957
cze,2023,
dnk,1990,
dnk,1991,
dnk,1992,
dnk,1993,
dnk,1994,
dnk,1995,
dnk,1996,
dnk,1997,
dnk,1998,
dnk,1999,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,538.72757
dnk,2009,436.14186
dnk,2010,429.30534
dnk,2011,395.45664
dnk,2012,417.6184
dnk,2013,510.54563
dnk,2014,563.45141
dnk,2015,561.10682
dnk,2016,674.82485
dnk,2017,611.90942
dnk,2018,613.87932
dnk,2019,576.79099
dnk,2020,210.11611
dnk,2021,198.75358
