country,year,ggas_cap_land
aut,1990,
aut,1991,
aut,1992,
aut,1993,
aut,1994,
aut,1995,
aut,1996,
aut,1997,
aut,1998,
aut,1999,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,553.47172
aut,2009,519.27864
aut,2010,513.91498
aut,2011,453.61813
aut,2012,408.57854
aut,2013,428.27019
aut,2014,405.93952
aut,2015,355.62444
aut,2016,315.3172
aut,2017,355.5478
aut,2018,364.97918
aut,2019,362.98313
aut,2020,369.82466
aut,2021,402.76207
aut,2022,376.80338
aut,2023,
bel,1990,
bel,1991,
bel,1992,
bel,1993,
bel,1994,
bel,1995,
bel,1996,
bel,1997,
bel,1998,
bel,1999,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,216.16185
bel,2009,196.5468
bel,2010,195.46602
bel,2011,186.30779
bel,2012,172.57401
bel,2013,169.89638
bel,2014,163.41385
bel,2015,159.07704
bel,2016,156.74806
bel,2017,160.88631
bel,2018,183.89901
bel,2019,193.62041
bel,2020,175.64114
bel,2021,152.35641
bel,2022,155.06519
bel,2023,
bgr,1990,
bgr,1991,
bgr,1992,
bgr,1993,
bgr,1994,
bgr,1995,
bgr,1996,
bgr,1997,
bgr,1998,
bgr,1999,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,774.29103
bgr,2009,723.8122
bgr,2010,708.95584
bgr,2011,739.50105
bgr,2012,779.15458
bgr,2013,690.88933
bgr,2014,782.37718
bgr,2015,864.28402
bgr,2016,939.2731
bgr,2017,962.66419
bgr,2018,921.03566
bgr,2019,948.97015
bgr,2020,891.65547
bgr,2021,990.79167
bgr,2022,1068.14037
bgr,2023,
hrv,1990,
hrv,1991,
hrv,1992,
hrv,1993,
hrv,1994,
hrv,1995,
hrv,1996,
hrv,1997,
hrv,1998,
hrv,1999,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,183.93202
hrv,2009,186.713
hrv,2010,200.21598
hrv,2011,190.34087
hrv,2012,161.07488
hrv,2013,217.9532
hrv,2014,202.31998
hrv,2015,206.21812
hrv,2016,210.83057
hrv,2017,262.60325
hrv,2018,249.2233
hrv,2019,271.39603
hrv,2020,230.51498
hrv,2021,232.1966
hrv,2022,226.66771
hrv,2023,
cyp,1990,
cyp,1991,
cyp,1992,
cyp,1993,
cyp,1994,
cyp,1995,
cyp,1996,
cyp,1997,
cyp,1998,
cyp,1999,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,246.95569
cyp,2009,268.4218
cyp,2010,256.25785
cyp,2011,235.98503
cyp,2012,183.76214
cyp,2013,148.12657
cyp,2014,146.88438
cyp,2015,162.63253
cyp,2016,173.60357
cyp,2017,188.2755
cyp,2018,187.75259
cyp,2019,198.55032
cyp,2020,182.3766
cyp,2021,177.87951
cyp,2022,175.93547
cyp,2023,
cze,1990,
cze,1991,
cze,1992,
cze,1993,
cze,1994,
cze,1995,
cze,1996,
cze,1997,
cze,1998,
cze,1999,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,716.61379
cze,2009,633.05271
cze,2010,627.82856
cze,2011,615.31416
cze,2012,598.0935
cze,2013,575.70601
cze,2014,602.76824
cze,2015,634.073
cze,2016,700.37916
cze,2017,737.9899
cze,2018,709.50117
cze,2019,727.49626
cze,2020,654.71988
cze,2021,757.4612
cze,2022,803.81427
cze,2023,
dnk,1990,
dnk,1991,
dnk,1992,
dnk,1993,
dnk,1994,
dnk,1995,
dnk,1996,
dnk,1997,
dnk,1998,
dnk,1999,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,535.16644
dnk,2009,660.9966
dnk,2010,702.4279
dnk,2011,643.7424
dnk,2012,690.10632
dnk,2013,598.77198
dnk,2014,513.69311
dnk,2015,575.77304
dnk,2016,606.22858
dnk,2017,507.70165
dnk,2018,608.36314
dnk,2019,629.31001
dnk,2020,606.12112
dnk,2021,613.2235
