country,year,imp_total
aus_oc,1990,
aus_oc,1991,
aus_oc,1992,
aus_oc,1993,
aus_oc,1994,
aus_oc,1995,
aus_oc,1996,
aus_oc,1997,
aus_oc,1998,
aus_oc,1999,
aus_oc,2000,
aus_oc,2001,
aus_oc,2002,
aus_oc,2003,
aus_oc,2004,
aus_oc,2005,
aus_oc,2006,
aus_oc,2007,
aus_oc,2008,0
aus_oc,2009,0
aus_oc,2010,0
aus_oc,2011,0
aus_oc,2012,0
aus_oc,2013,0
aus_oc,2014,0
aus_oc,2015,0
aus_oc,2016,0
aus_oc,2017,0
aus_oc,2018,0
aus_oc,2019,0
aus_oc,2020,0
aus_oc,2021,0
aus_oc,2022,0
aus_oc,2023,0
bel_lux,1990,
bel_lux,1991,
bel_lux,1992,
bel_lux,1993,
bel_lux,1994,
bel_lux,1995,
bel_lux,1996,
bel_lux,1997,
bel_lux,1998,
bel_lux,1999,
bel_lux,2000,
bel_lux,2001,
bel_lux,2002,
bel_lux,2003,
bel_lux,2004,
bel_lux,2005,
bel_lux,2006,
bel_lux,2007,
bel_lux,2008,0
bel_lux,2009,0
bel_lux,2010,0
bel_lux,2011,0
bel_lux,2012,0
bel_lux,2013,0
bel_lux,2014,0
bel_lux,2015,0
bel_lux,2016,0
bel_lux,2017,0
bel_lux,2018,0
bel_lux,2019,0
bel_lux,2020,0
bel_lux,2021,0
bel_lux,2022,0
bel_lux,2023,0
bes,1990,
bes,1991,
bes,1992,
bes,1993,
bes,1994,
bes,1995,
bes,1996,
bes,1997,
bes,1998,
bes,1999,
bes,2000,
bes,2001,
bes,2002,
bes,2003,
bes,2004,
bes,2005,
bes,2006,
bes,2007,
bes,2008,0
bes,2009,0
bes,2010,0
bes,2011,0
bes,2012,0
bes,2013,1
bes,2014,82
bes,2015,0
bes,2016,0
bes,2017,2
bes,2018,0
bes,2019,1
bes,2020,0
bes,2021,562
bes,2022,381
bes,2023,152
bunk_main,1990,
bunk_main,1991,
bunk_main,1992,
bunk_main,1993,
bunk_main,1994,
bunk_main,1995,
bunk_main,1996,
bunk_main,1997,
bunk_main,1998,
bunk_main,1999,
bunk_main,2000,
bunk_main,2001,
bunk_main,2002,
bunk_main,2003,
bunk_main,2004,
bunk_main,2005,
bunk_main,2006,
bunk_main,2007,
bunk_main,2008,0
bunk_main,2009,0
bunk_main,2010,0
bunk_main,2011,0
bunk_main,2012,90
bunk_main,2013,0
bunk_main,2014,0
bunk_main,2015,0
bunk_main,2016,1
bunk_main,2017,55
bunk_main,2018,549
bunk_main,2019,38
bunk_main,2020,34
bunk_main,2021,494
bunk_main,2022,415
bunk_main,2023,1827
bunk_third,1990,
bunk_third,1991,
bunk_third,1992,
bunk_third,1993,
bunk_third,1994,
bunk_third,1995,
bunk_third,1996,
bunk_third,1997,
bunk_third,1998,
bunk_third,1999,
bunk_third,2000,
bunk_third,2001,
bunk_third,2002,
bunk_third,2003,
bunk_third,2004,
bunk_third,2005,
bunk_third,2006,
bunk_third,2007,
bunk_third,2008,0
bunk_third,2009,0
bunk_third,2010,0
bunk_third,2011,0
bunk_third,2012,0
bunk_third,2013,0
bunk_third,2014,190
bunk_third,2015,0
bunk_third,2016,4
bunk_third,2017,0
bunk_third,2018,0
bunk_third,2019,0
bunk_third,2020,0
bunk_third,2021,0
bunk_third,2022,0
bunk_third,2023,0
bunk_eu,1990,
bunk_eu,1991,
bunk_eu,1992,
bunk_eu,1993,
bunk_eu,1994,
bunk_eu,1995,
bunk_eu,1996,
bunk_eu,1997,
bunk_eu,1998,
bunk_eu,1999,
bunk_eu,2000,
bunk_eu,2001,
bunk_eu,2002,
bunk_eu,2003,
bunk_eu,2004,
bunk_eu,2005,
bunk_eu,2006,
bunk_eu,2007,
bunk_eu,2008,0
bunk_eu,2009,0
bunk_eu,2010,0
bunk_eu,2011,0
bunk_eu,2012,0
bunk_eu,2013,6
bunk_eu,2014,0
bunk_eu,2015,0
bunk_eu,2016,0
bunk_eu,2017,0
bunk_eu,2018,0
bunk_eu,2019,48
bunk_eu,2020,82
bunk_eu,2021,0
bunk_eu,2022,151
bunk_eu,2023,23
cay,1990,
cay,1991,
cay,1992,
cay,1993,
cay,1994,
cay,1995,
cay,1996,
cay,1997,
cay,1998,
cay,1999,
cay,2000,
cay,2001,
cay,2002,
cay,2003,
cay,2004,
cay,2005,
cay,2006,
cay,2007,
cay,2008,0
cay,2009,0
cay,2010,0
cay,2011,0
cay,2012,0
cay,2013,0
cay,2014,0
cay,2015,0
cay,2016,0
cay,2017,0
cay,2018,0
cay,2019,0
cay,2020,0
cay,2021,0
cay,2022,0
cay,2023,0
ceu,1990,
ceu,1991,
ceu,1992,
ceu,1993,
ceu,1994,
ceu,1995,
ceu,1996,
ceu,1997,
ceu,1998,
ceu,1999,
ceu,2000,
ceu,2001,
ceu,2002,
ceu,2003,
ceu,2004,
ceu,2005,
ceu,2006,
ceu,2007,
ceu,2008,1
ceu,2009,0
ceu,2010,1
ceu,2011,25
ceu,2012,71
ceu,2013,8
ceu,2014,620
ceu,2015,19
ceu,2016,56
ceu,2017,45
ceu,2018,14
ceu,2019,300
ceu,2020,2
ceu,2021,278
ceu,2022,6
ceu,2023,37
coc,1990,
coc,1991,
coc,1992,
coc,1993,
coc,1994,
coc,1995,
coc,1996,
coc,1997,
coc,1998,
coc,1999,
coc,2000,
coc,2001,
coc,2002,
coc,2003,
coc,2004,
coc,2005,
coc,2006,
coc,2007,
coc,2008,0
coc,2009,0
coc,2010,46
coc,2011,574
coc,2012,479
coc,2013,0
coc,2014,0
coc,2015,806
coc,2016,304
coc,2017,0
coc,2018,0
coc,2019,0
coc,2020,0
coc,2021,0
coc,2022,0
coc,2023,0
ckk,1990,
ckk,1991,
ckk,1992,
ckk,1993,
ckk,1994,
ckk,1995,
ckk,1996,
ckk,1997,
ckk,1998,
ckk,1999,
ckk,2000,
ckk,2001,
ckk,2002,
ckk,2003,
ckk,2004,
ckk,2005,
ckk,2006,
ckk,2007,
ckk,2008,416
ckk,2009,366
ckk,2010,32
ckk,2011,0
ckk,2012,1045
ckk,2013,0
ckk,2014,1759
ckk,2015,118
ckk,2016,1579
ckk,2017,1
ckk,2018,68
ckk,2019,0
ckk,2020,3
ckk,2021,0
ckk,2022,1458
ckk,2023,13
def_unspec,1990,
def_unspec,1991,
def_unspec,1992,
def_unspec,1993,
def_unspec,1994,
def_unspec,1995,
def_unspec,1996,
def_unspec,1997,
def_unspec,1998,
def_unspec,1999,
def_unspec,2000,
def_unspec,2001,
def_unspec,2002,
def_unspec,2003,
def_unspec,2004,
def_unspec,2005,
def_unspec,2006,
def_unspec,2007,
def_unspec,2008,0
def_unspec,2009,0
def_unspec,2010,0
def_unspec,2011,0
def_unspec,2012,0
def_unspec,2013,0
def_unspec,2014,0
def_unspec,2015,0
def_unspec,2016,0
def_unspec,2017,0
def_unspec,2018,0
def_unspec,2019,0
def_unspec,2020,0
def_unspec,2021,0
