country,year,total_fte_agri
eu,1990,
eu,1991,
eu,1992,
eu,1993,
eu,1994,
eu,1995,
eu,1996,
eu,1997,
eu,1998,
eu,1999,
eu,2000,250000
eu,2001,259000
eu,2002,281000
eu,2003,314000
eu,2004,312000
eu,2005,329000
eu,2006,363000
eu,2007,361000
eu,2008,363000
eu,2009,391000
eu,2010,423000
eu,2011,451000
eu,2012,467000
eu,2013,474000
eu,2014,480000
eu,2015,526000
eu,2016,551000
eu,2017,643000
eu,2018,670000
eu,2019,683000
eu,2020,731000
eu,2021,752000
eu,2022,
eu,2023,
