country,year,total_fte_const
eu,1990,
eu,1991,
eu,1992,
eu,1993,
eu,1994,
eu,1995,
eu,1996,
eu,1997,
eu,1998,
eu,1999,
eu,2000,720000
eu,2001,752000
eu,2002,919000
eu,2003,808000
eu,2004,819000
eu,2005,816000
eu,2006,874000
eu,2007,989000
eu,2008,1002000
eu,2009,1041000
eu,2010,1110000
eu,2011,1241000
eu,2012,1250000
eu,2013,1166000
eu,2014,1105000
eu,2015,1153000
eu,2016,1140000
eu,2017,1136000
eu,2018,1147000
eu,2019,1209000
eu,2020,1283000
eu,2021,1405000
eu,2022,
eu,2023,
