country,year,total_fte_total
eu,1990,
eu,1991,
eu,1992,
eu,1993,
eu,1994,
eu,1995,
eu,1996,
eu,1997,
eu,1998,
eu,1999,
eu,2000,3217000
eu,2001,3305000
eu,2002,3615000
eu,2003,3431000
eu,2004,3452000
eu,2005,3476000
eu,2006,3688000
eu,2007,3845000
eu,2008,3911000
eu,2009,4024000
eu,2010,4185000
eu,2011,4439000
eu,2012,4540000
eu,2013,4432000
eu,2014,4274000
eu,2015,4437000
eu,2016,4506000
eu,2017,4593000
eu,2018,4663000
eu,2019,4836000
eu,2020,5056000
eu,2021,5244000
eu,2022,
eu,2023,
aut,1990,
aut,1991,
aut,1992,
aut,1993,
aut,1994,
aut,1995,
aut,1996,
aut,1997,
aut,1998,
aut,1999,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,162547
aut,2009,162647
aut,2010,168804
aut,2011,170241
aut,2012,173220
aut,2013,176054
aut,2014,171840
aut,2015,170070
aut,2016,171968
aut,2017,178161
aut,2018,191412
aut,2019,197339
aut,2020,199469
aut,2021,205788
aut,2022,
aut,2023,
bel,1990,
bel,1991,
bel,1992,
bel,1993,
bel,1994,
bel,1995,
bel,1996,
bel,1997,
bel,1998,
bel,1999,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,
bel,2009,
bel,2010,
bel,2011,
bel,2012,
bel,2013,
bel,2014,63418
bel,2015,64846
bel,2016,67399
bel,2017,69505
bel,2018,73337
bel,2019,75825
bel,2020,74467
bel,2021,77834
bel,2022,
bel,2023,
bgr,1990,
bgr,1991,
bgr,1992,
bgr,1993,
bgr,1994,
bgr,1995,
bgr,1996,
bgr,1997,
bgr,1998,
bgr,1999,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,
bgr,2009,
bgr,2010,
bgr,2011,
bgr,2012,
bgr,2013,33329
bgr,2014,33142
bgr,2015,38150
bgr,2016,43087
bgr,2017,46219
bgr,2018,50115
bgr,2019,63108
bgr,2020,65560
bgr,2021,68066
bgr,2022,
bgr,2023,
hrv,1990,
hrv,1991,
hrv,1992,
hrv,1993,
hrv,1994,
hrv,1995,
hrv,1996,
hrv,1997,
hrv,1998,
hrv,1999,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,
hrv,2009,
hrv,2010,
hrv,2011,
hrv,2012,
hrv,2013,
hrv,2014,36750
hrv,2015,36806
hrv,2016,36798
hrv,2017,37558
hrv,2018,38101
hrv,2019,39044
hrv,2020,38514
hrv,2021,41674
hrv,2022,
hrv,2023,
cyp,1990,
cyp,1991,
cyp,1992,
cyp,1993,
cyp,1994,
cyp,1995,
cyp,1996,
cyp,1997,
cyp,1998,
cyp,1999,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,
cyp,2009,
cyp,2010,
cyp,2011,
cyp,2012,
cyp,2013,
cyp,2014,
cyp,2015,
cyp,2016,
cyp,2017,
cyp,2018,11444
cyp,2019,12173
cyp,2020,10268
cyp,2021,11982
cyp,2022,
cyp,2023,
cze,1990,
cze,1991,
cze,1992,
cze,1993,
cze,1994,
cze,1995,
cze,1996,
cze,1997,
cze,1998,
cze,1999,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,
cze,2009,
cze,2010,
cze,2011,
cze,2012,
cze,2013,
cze,2014,120952
cze,2015,120686
cze,2016,120018
cze,2017,119897
cze,2018,124028
cze,2019,126560
cze,2020,140287
cze,2021,150744
cze,2022,
cze,2023,
dnk,1990,
dnk,1991,
dnk,1992,
dnk,1993,
dnk,1994,
dnk,1995,
dnk,1996,
dnk,1997,
dnk,1998,
dnk,1999,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,
dnk,2009,
dnk,2010,
dnk,2011,
dnk,2012,64487
dnk,2013,62349
dnk,2014,64495
dnk,2015,73265
dnk,2016,75705
dnk,2017,79549
dnk,2018,81064
dnk,2019,80881
dnk,2020,81845
dnk,2021,85652
dnk,2022,
dnk,2023,
est,1990,
est,1991,
est,1992,
est,1993,
est,1994,
est,1995,
est,1996,
est,1997,
est,1998,
est,1999,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,
est,2009,
est,2010,
est,2011,
est,2012,
est,2013,
est,2014,27178
est,2015,30178
est,2016,32100
est,2017,30646
est,2018,29361
est,2019,31201
est,2020,36574
est,2021,32133
est,2022,
est,2023,
fin,1990,
fin,1991,
fin,1992,
fin,1993,
fin,1994,
fin,1995,
fin,1996,
fin,1997,
fin,1998,
fin,1999,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,
fin,2009,
fin,2010,
fin,2011,
fin,2012,133386
fin,2013,127355
fin,2014,128579
fin,2015,133142
fin,2016,138502
fin,2017,139640
fin,2018,117455
fin,2019,125320
fin,2020,123645
fin,2021,125138
fin,2022,
fin,2023,
fra,1990,
fra,1991,
fra,1992,
fra,1993,
fra,1994,
fra,1995,
fra,1996,
fra,1997,
fra,1998,
fra,1999,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,483281
fra,2009,515193
fra,2010,567175
fra,2011,611662
fra,2012,645222
fra,2013,728295
fra,2014,827385
fra,2015,860550
fra,2016,861562
fra,2017,899552
fra,2018,932780
fra,2019,965818
fra,2020,970908
fra,2021,1072406
fra,2022,
fra,2023,
deu,1990,
deu,1991,
deu,1992,
deu,1993,
deu,1994,
deu,1995,
deu,1996,
deu,1997,
deu,1998,
deu,1999,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,
deu,2009,
deu,2010,
deu,2011,
deu,2012,
deu,2013,
deu,2014,544139
deu,2015,563397
deu,2016,554923
deu,2017,579495
deu,2018,626624
deu,2019,657035
deu,2020,666043
deu,2021,708702
deu,2022,
deu,2023,
grc,1990,
grc,1991,
grc,1992,
grc,1993,
grc,1994,
grc,1995,
grc,1996,
grc,1997,
grc,1998,
grc,1999,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,
grc,2009,
grc,2010,
grc,2011,
grc,2012,
grc,2013,
grc,2014,58487
grc,2015,64136
grc,2016,58641
grc,2017,67642
grc,2018,80318
grc,2019,87056
grc,2020,81062
grc,2021,83414
grc,2022,
grc,2023,
hun,1990,
hun,1991,
hun,1992,
hun,1993,
hun,1994,
hun,1995,
hun,1996,
hun,1997,
hun,1998,
hun,1999,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,
hun,2009,
hun,2010,
hun,2011,
hun,2012,
hun,2013,
hun,2014,
hun,2015,
hun,2016,
hun,2017,47530
hun,2018,44595
hun,2019,46879
hun,2020,46778
hun,2021,42969
hun,2022,
hun,2023,
isl,1990,
isl,1991,
isl,1992,
isl,1993,
isl,1994,
isl,1995,
isl,1996,
isl,1997,
isl,1998,
isl,1999,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,
isl,2009,
isl,2010,
isl,2011,
isl,2012,
isl,2013,
isl,2014,
isl,2015,
isl,2016,
isl,2017,
isl,2018,3214
isl,2019,3535
isl,2020,3547
isl,2021,
isl,2022,
